col1,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
138,150.233506,1.6518248,true,false,false,false
139,150.2422785,1.6650849,true,false,false,false
140,213.9909128,11.4771781,false,false,true,false
141,214.0298911,11.486088,false,true,false,false
142,214.0052685,11.495062400000002,false,true,false,false
143,213.9902286,11.5023352,false,true,false,false
144,214.0265054,11.5045638,false,false,false,true
145,322.7645837,-40.3408914,true,false,false,false
146,322.7694578,-40.3164009,false,true,false,false
147,322.7749406000001,-40.3108935,true,false,false,false
148,188.5177942,7.7396202,true,false,false,false
149,188.4945762,7.746263000000001,false,true,false,false
150,188.5222152,7.750741199999997,true,false,false,false
151,188.49696530000003,7.7503172,false,false,true,false
152,188.5193703,7.7546396999999985,false,false,true,false
153,188.5195093,7.7590473,true,false,false,false
154,188.5255126,7.7572644,true,false,false,false
155,188.5221101,7.7592648,false,false,false,true
156,188.4988516,7.7629698,false,true,false,false
157,188.5014325,7.764599,true,false,false,false
158,188.4957946,7.7651337,true,false,false,false
159,188.4892895,7.7660429,true,false,false,false
160,188.4942477,7.7689032,false,true,false,false
161,188.4989667,7.7695898,false,true,false,false
162,188.5292821,7.7705259999999985,false,false,true,false
163,188.5027679,7.7843559,false,false,true,false
164,9.3619948,39.2405061,false,true,false,false
165,9.4054964,39.2550815,true,false,false,false
166,9.3905047,39.25822520000001,false,true,false,false
167,9.382168,39.2696559,false,false,true,false
168,9.383093400000002,39.3023571,true,false,false,false
169,350.1849839,8.2214974,true,false,false,false
170,129.6347584,25.7634984,false,false,false,true
171,129.6046277,25.7777051,true,false,false,false
172,184.949852,47.27960570000001,false,true,false,false
173,184.9513654,47.2853341,false,false,false,true
174,184.9192532,47.2940346,true,false,false,false
175,184.9580399,47.31774470000001,false,false,false,true
176,189.152399,62.0675365,false,true,false,false
177,189.140144,62.07936700000001,false,true,false,false
178,189.1242755,62.0950685,true,false,false,false
179,215.0244812,53.0340144,true,false,false,false
180,215.0141395,53.0539318,false,false,false,true
181,215.0141278,53.0665048,false,true,false,false
182,215.042897,53.08627360000001,true,false,false,false
183,150.1191228,2.3255794,true,false,false,false
184,78.4861145,-40.1505627,false,false,false,true
185,78.4298177,-40.1253091,false,true,false,false
186,78.4324077,-40.1204242,false,false,false,true
187,69.9013988,-29.0971316,false,true,false,false
188,69.8875156,-29.0777088,false,false,true,false
189,150.01782769999997,1.8758534,false,false,false,true
190,149.98885719999996,1.9082954,false,true,false,false
191,149.9883311,1.9127881,false,false,false,true
192,149.9978715,1.913195,true,false,false,false
193,150.02664309999997,1.9229965,true,false,false,false
194,189.4254518,62.1902735,false,false,false,true
195,189.1810224,62.1389776,false,false,false,true
196,189.1323404,62.1523716,false,false,true,false
197,186.8060057,23.7871197,false,true,false,false
198,186.8091879,23.7875049,true,false,false,false
199,186.7785092,23.7907936,true,false,false,false
200,186.7863546,23.799052,true,false,false,false
201,186.7774483,23.8349987,false,false,false,true
202,15.9500001,21.8558391,false,false,false,true
203,15.9735314,21.9218693,false,false,false,true
204,12.5994131,-19.9243087,false,false,false,true
205,12.6054229,-19.921411,false,false,true,false
206,101.8766358,70.25682420000001,false,false,false,true
207,174.5265128,-11.5735847,false,false,false,true
208,174.543863,-11.5692454,true,false,false,false
209,174.5452092,-11.567987400000002,false,true,false,false
210,174.54343269999995,-11.5672385,false,false,true,false
211,174.50186269999998,-11.5613167,false,false,false,true
212,174.5371355,-11.560908,false,false,true,false
213,174.54429869999996,-11.558535699999998,false,true,false,false
214,174.51754530000005,-11.5540814,false,true,false,false
215,174.5336216,-11.5534477,false,false,true,false
216,174.5571514,-11.5439675,false,false,true,false
217,174.5474095,-11.533954199999998,false,true,false,false
218,174.53838269999997,-11.5357933,false,true,false,false
219,24.5921106,33.2699462,false,true,false,false
