col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
20233,6000264958305,147.7563878,33.5612148,true,false,false,false
20234,6000265052257,120.2410494,36.0434922,false,false,false,true
20235,6000265052345,120.2471844,36.0722069,false,false,false,true
20236,6000265053050,120.2259914,36.0506986,false,false,false,true
20237,6000265608901,189.081144,62.2146625,false,false,true,false
20238,6000265815696,116.22588799999998,39.4591898,false,true,false,false
20239,6000265815743,116.2308203,39.456824,false,false,true,false
20240,6000265815849,116.21549070000002,39.4751855,false,true,false,false
20241,6000265985400,231.168849,9.9405969,true,false,false,false
20242,6000266241845,150.0025388,2.6259222,false,false,true,false
20243,6000266669686,169.61092219999995,58.793623,false,false,false,true
20244,6000266757037,150.1021739,2.4282213,true,false,false,false
20245,6000266806275,177.41682509999995,22.4025422,true,false,false,false
20246,6000266856676,219.2677759,34.9980446,false,false,false,true
20247,6000267211905,56.14668639999999,-44.6179235,false,false,false,true
20248,6000267892125,219.2968325,35.0827629,false,false,false,true
20249,6000267892200,219.3114455,35.0936259,false,true,false,false
20250,6000267892268,219.2800592,35.0877755,true,false,false,false
20251,6000267892280,219.2945849,35.0873923,false,false,false,true
20252,6000267892289,219.2979526,35.08640220000001,false,false,false,true
20253,6000268075818,56.15707239999999,-44.6086754,true,false,false,false
20254,6000268666368,186.7649126,33.5539421,false,true,false,false
20255,6000268666611,186.7282027,33.5428224,false,false,true,false
20256,6000268667463,186.7508387,33.5201642,false,false,true,false
20257,6000269059391,240.3236646,-0.473266,false,false,false,true
20258,6000269059512,240.3291632,-0.4416764,false,false,false,true
20259,6000269059868,240.3348198,-0.450822,false,false,false,true
20260,6000269060768,240.3256315,-0.4657142,false,false,true,false
20261,6000269060864,240.3405768,-0.4677518,false,false,false,true
20262,6000269060878,240.3403798,-0.4679778,false,false,false,false
20263,6000269182385,195.3649366,27.8790708,true,false,false,false
20264,6000269605419,215.1636387,53.0277813,false,false,false,true
20265,6000269996006,204.5618174,48.2727951,false,true,false,false
20266,6000272637834,109.383439,37.7496607,true,false,false,false
20267,6000272639014,109.3655402,37.7539488,true,false,false,false
20268,6000273127324,51.8595318,-13.4312479,false,false,true,false
20269,6000273160340,344.7126014,-34.8168158,false,false,false,true
20270,6000273160665,344.7052803,-34.783661200000004,false,true,false,false
20271,6000273160727,344.6834715,-34.799176700000004,false,false,true,false
20272,6000273161291,344.7108164,-34.786381899999995,false,false,true,false
