col1,SourceID,RA,Dec,Stage 1,Stage 2,Stage 3,Stage 4
4720,4000866918258,195.1379216,27.996783,true,false,false,false
4721,4000866918652,195.1182448,28.0211272,false,false,false,true
4722,4000866918950,195.1088161,28.0391493,false,false,false,true
4723,4000866918965,195.14603180000003,28.0385941,false,false,false,true
4724,4000866919109,195.1518408,28.048741,false,false,true,false
4725,4000866919193,195.1088663,28.0489816,false,false,false,true
4726,4000866919759,195.1164595,28.0212941,false,true,false,false
4727,4000866921176,197.7731395,-3.18807,false,false,true,false
4728,4000867164196,11.0841013,39.7584859,false,false,true,false
4729,4000867164848,11.0826325,39.76969329999999,false,false,true,false
4730,4000867174097,53.329336100000006,-27.9497339,false,true,false,false
4731,4000867174249,53.2888079,-27.9336316,false,false,false,true
4732,4000867274772,214.2306215,52.4697177,false,true,false,false
4733,4000867274932,214.2297187,52.47519490000001,false,false,true,false
4734,4000867275235,214.1938091,52.4855341,false,false,false,true
4735,4000867275444,214.2277859,52.4901504,true,false,false,false
4736,4000867275777,214.2669687,52.498659,false,false,true,false
4737,4000867275779,214.266658,52.4987937,false,false,true,false
4738,4000867275803,214.2188449,52.4996953,false,true,false,false
4739,4000867276132,214.2342325,52.5117576,false,true,false,false
4740,4000867278797,150.4917561,1.6278921,false,false,false,true
4741,4000867279118,150.48532450000005,1.6416147,false,false,true,false
4742,4000867279187,150.5205545,1.6455791000000002,false,false,false,true
4743,4000867279483,150.4877489,1.6566689,false,false,false,true
4744,4000867280069,234.66272830000003,59.3306395,false,false,false,true
4745,4000867280932,234.6246673,59.3560018,false,false,false,true
4746,4000867281963,234.6360625,59.38289739999999,false,false,true,false
4747,4000867415197,199.5914329,-1.0902528,false,false,true,false
4748,4000867415258,199.6086382,-1.0843457,false,true,false,false
4749,4000867415282,199.6223952,-1.08314,false,false,false,true
4750,4000867415283,199.6221262,-1.0826766,false,false,false,true
4751,4000867415527,199.6299586,-1.0622251,false,false,true,false
4752,4000867415628,199.6372519,-1.0525094,false,false,true,false
4753,4000867415690,199.6320347,-1.0577787,false,false,false,true
4754,4000867417165,147.74063030000005,33.5799836,false,false,true,false
4755,4000867902455,322.3023894,-7.5317044000000015,false,false,true,false
4756,4000867902686,322.3117623,-7.5097795,false,true,false,false
4757,4000868140354,150.4956379,2.3823363,false,false,true,false
4758,4000868140504,150.45839750000005,2.3908473,false,false,true,false
4759,4000868140865,150.47334909999995,2.4055649,false,false,true,false
4760,4000868140870,150.4909115,2.4058326,false,true,false,false
4761,4000868140871,150.49846609999997,2.4056189,false,false,true,false
4762,4000868141209,150.4618284,2.4187619,false,false,false,true
4763,4000868141212,150.45971519999995,2.4198574,false,true,false,false
4764,4000868141457,150.4874473,2.438422,false,true,false,false
4765,4000868141496,150.45616299999998,2.4325951,false,true,false,false
4766,4000868441784,52.9758409,-27.7316197,false,false,true,false
4767,4000868593582,259.1783606,59.77336379999999,false,false,true,false
4768,4000868593619,259.2011901,59.7752393,false,false,false,true
4769,4000868593938,259.1903542,59.78571170000001,false,false,true,false
4770,4000868594578,259.1947457,59.8048756,false,false,false,true
4771,4000868836062,357.0487193,0.3965242,false,false,false,true
4772,4000868836115,357.04566370000015,0.3998547999999999,false,false,true,false
4773,4000868836130,357.0205732,0.3997069,false,true,false,false
4774,4000868836318,357.0488399,0.4087394,false,false,false,true
4775,4000868836399,357.0655871,0.4118319,false,false,false,true
4776,4000868836698,357.0356454,0.4256174,false,false,false,true
4777,4000868837562,357.0368383,0.4506404000000001,false,false,false,true
4778,4000868950185,61.0056819,-43.5006509,false,true,false,false
4779,4000869131130,223.2453781,33.3837798,false,false,true,false
4780,4000869131154,223.2430273,33.3852266,false,true,false,false
4781,4000869131160,223.2434947,33.385197600000005,false,true,false,false
4782,4000869131172,223.2637141,33.386029,false,false,false,true
4783,4000869131312,223.2376216,33.39509,false,false,true,false
4784,4000869131446,223.2557637,33.4044577,false,true,false,false
4785,4000869131461,223.2476416,33.4062635,true,false,false,false
4786,4000869131471,223.2478611,33.4061245,true,false,false,false
4787,4000869131485,223.19340860000003,33.407039000000005,false,false,true,false
4788,4000869131590,223.2536988,33.4165688,false,false,true,false
4789,4000869131637,223.25036150000005,33.420864,false,true,false,false
4790,4000869132306,150.30827280000003,1.7977112000000002,false,false,false,true
4791,4000869132834,150.3017291,1.8201938,false,false,true,false
4792,4000869817111,150.62040119999998,2.7009803,true,false,false,false
4793,4000869817459,150.62333769999995,2.7149273,false,false,true,false
4794,4000869817886,150.64764480000005,2.727739,false,false,false,true
4795,4000870240014,109.5028911,37.76533970000001,false,true,false,false
4796,4000870240177,109.4656236,37.7783799,false,false,false,true
4797,4000870240370,109.4913163,37.7922165,false,true,false,false
4798,4000870240381,109.5305543,37.7937877,false,false,false,true
4799,4000870240506,109.5277702,37.8011268,false,false,true,false
4800,4000870240631,109.5247255,37.8119112,false,false,false,true
4801,4000870240720,109.5031113,37.8163334,false,false,true,false
4802,4000870240738,109.5242465,37.8117222,false,false,true,false
4803,4000870241076,149.7622942,2.736137,false,false,true,false
4804,4000870245892,149.7649977,1.9307889,false,false,false,true
4805,4000870246209,149.77054919999995,1.9418447,false,false,false,true
4806,4000870246417,149.75522180000004,1.949279,true,false,false,false
4807,4000870247130,149.76119409999995,1.9727819,false,false,false,true
4808,4000870268426,182.245886,45.6462126,true,false,false,false
4809,4000870269566,182.211266,45.675882,false,false,false,true
4810,4000870269581,182.2830908,45.6757279,false,false,true,false
4811,4000870269827,182.1968425,45.6813505,false,true,false,false
4812,4000870271087,182.2282914,45.70269520000001,false,false,true,false
4813,4000870276238,150.5127409,1.6764735,false,true,false,false
4814,4000870276239,150.5126135,1.6766533,false,true,false,false
4815,4000870276375,150.51586830000005,1.6843711,false,true,false,false
4816,4000870276446,150.486936,1.6884589,false,false,true,false
4817,4000870277231,150.5295774,1.7252593999999997,false,false,false,true
4818,4000870278854,150.7068295,2.1213859,true,false,false,false
4819,4000870520912,260.0416394,59.6729238,false,false,true,false
4820,4000870521034,260.0547886,59.6813271,false,false,false,true
4821,4000870521261,260.0632052,59.692634,false,false,true,false
4822,4000870521309,260.0828391,59.6981248,false,false,false,true
4823,4000870521368,260.0539332,59.6980851,false,true,false,false
4824,4000870521429,260.0816337,59.70143390000001,false,false,false,true
4825,4000870521975,260.04171119999995,59.7150775,true,false,false,false
4826,4000871356492,150.0588767,2.3011415,false,false,false,true
4827,4000871625561,53.2034079,-27.8161442,false,false,false,true
4828,4000872043025,173.74684969999996,37.3559915,false,true,false,false
4829,4000872043183,173.72619369999995,37.3576066,false,false,false,true
4830,4000872043421,173.7949276,37.3601626,false,true,false,false
4831,4000872043574,173.75373530000005,37.3617673,false,false,true,false
4832,4000872044655,173.7653217,37.3863953,false,true,false,false
4833,4000872763247,53.2207531,-27.8539324,false,false,true,false
4834,4000872764701,101.9105441,70.2239617,false,true,false,false
4835,4000872995663,203.1327849,25.1155243,false,false,false,true
4836,4000873459837,189.3045847,62.2260172,false,false,false,true
4837,4000873881252,14.155575199999998,42.4291318,false,false,true,false
4838,4000873881471,14.144735199999998,42.4346799,false,false,false,true
4839,4000873881476,14.1348503,42.4340541,false,false,false,true
4840,4000873881632,14.1674702,42.4385075,true,false,false,false
4841,4000873881687,14.1590573,42.4400856,false,false,false,true
4842,4000873882332,14.1301493,42.4504274,false,false,true,false
4843,4000873882807,14.112043300000002,42.4559068,false,true,false,false
4844,4000873883048,14.1478788,42.4615003,false,false,false,true
4845,4000873883113,14.1439383,42.4600284,false,false,true,false
4846,4000873883237,14.1489509,42.4620176,false,false,false,true
4847,4000873884658,14.1214203,42.4876021,false,false,false,true
4848,4000873906568,161.9437702,13.9377853,true,false,false,false
4849,4000874987006,262.9236988,22.84374810000001,false,true,false,false
4850,4000874987203,262.9106798,22.8521619,false,false,true,false
4851,4000874987265,262.893988,22.8539786,true,false,false,false
4852,4000874987297,262.9360807,22.8562394,false,true,false,false
4853,4000874987639,262.8959477,22.8661917,false,true,false,false
4854,4000874987653,262.8958816,22.8658096,false,true,false,false
4855,4000874987928,262.939818,22.8746006,false,false,false,true
4856,4000874988122,262.9072343,22.8823921,false,false,true,false
4857,4000874996324,36.0374881,42.2136273,false,false,false,true
4858,4000874996463,36.069279,42.2202247,true,false,false,false
4859,4000874996553,36.0490656,42.2233722,false,false,true,false
4860,4000874997116,36.0204876,42.245521,false,true,false,false
4861,4000874997227,36.0107058,42.25344260000001,false,true,false,false
4862,4000875068536,1.0123073,-73.460154,false,false,false,true
4863,4000875070330,1.0409402,-73.4559275,false,false,false,true
4864,4000875113847,149.543679,1.9700441,false,false,false,true
4865,4000875114394,149.5611969,1.9927819,false,false,false,true
4866,4000875114582,149.5164416,2.0063873,false,false,false,true
4867,4000875114650,149.5545776,2.0042766,false,true,false,false
4868,4000875140850,179.91112019999997,-0.1466422,false,false,true,false
4869,4000875141363,179.90730019999995,-0.1072022,false,false,true,false
4870,4000875141386,179.9412249,-0.1043083999999999,false,true,false,false
4871,4000875141444,179.9435894,-0.1080162,false,false,false,true
4872,4000875141447,179.9208023,-0.0978212,false,false,true,false
4873,4000875142323,52.96728760000001,-27.8784115,false,false,false,true
4874,4000875209895,150.0040303,2.1452192,false,false,true,false
4875,4000875210112,149.9963729,2.1541718,false,false,false,true
4876,4000875210153,149.9900389,2.1561255,true,false,false,false
4877,4000875210157,150.0112481,2.1564739,false,false,false,true
4878,4000875210253,150.000324,2.1607195,false,true,false,false
4879,4000875210274,150.0003885,2.1608273,false,false,false,true
4880,4000875210612,150.01025990000005,2.1750921,false,false,true,false
