col1,SourceID,RA,Dec,s1,s2,s3,s4
9045,4001019233045,317.2122715,-5.2773776,true,false,false,false
9046,4001019233082,317.2254233999999,-5.2761933,false,true,false,false
9047,4001019233129,317.2011661,-5.2729401,false,false,true,false
9048,4001019233181,317.2193729,-5.2711469000000015,true,false,false,false
9049,4001019233190,317.219535,-5.2708783,false,false,false,false
9050,4001019233191,317.2196981,-5.2710398000000005,false,false,false,false
9051,4001019233306,317.2011028,-5.263533799999999,true,false,false,false
9052,4001019233422,317.2063271,-5.2593738,false,true,false,false
9053,4001019233478,317.2387666,-5.2585123,false,false,true,false
9054,4001019233501,317.2058305,-5.2595095,false,false,true,false
9055,4001019233523,216.3411914,34.538470700000005,false,false,false,true
9056,4001019233539,216.334181,34.5392003,false,false,false,true
9057,4001019233846,216.3275871,34.566868400000004,false,false,true,false
9058,4001019238164,11.5405197,40.7133318,true,false,false,false
9059,4001019239708,11.5046428,40.68862670000001,true,false,false,false
9060,4001019251030,138.2693217,30.8324598,false,false,true,false
9061,4001019251169,138.2390295,30.8427813,true,false,false,false
9062,4001019251622,138.2936264,30.874157,false,false,false,true
9063,4001019251720,138.2711094,30.87912810000001,false,false,true,false
9064,4001019438860,73.4532477,-3.0411748,false,true,false,false
9065,4001019439222,73.4678337,-3.0279925,true,false,false,false
9066,4001019439954,73.4672946,-3.0005812,false,false,true,false
9067,4001019440011,73.44802469999998,-2.9985095,false,false,false,true
9068,4001019452245,259.45543080000004,59.6195777,false,false,false,true
9069,4001019452312,259.4574819,59.6208031,false,true,false,false
9070,4001019452723,259.4825648,59.634494,true,false,false,false
9071,4001019452818,259.5194813,59.6378642,true,false,false,false
9072,4001019453222,259.5113874,59.6506156,false,false,true,false
9073,4001019453243,259.5300006,59.64631510000001,false,false,false,true
9074,4001019570865,53.25352610000001,-27.8854079,true,false,false,false
9075,4001019572385,251.2524476,1.6541513,false,false,true,false
9076,4001019572714,251.24316800000005,1.666325,true,false,false,false
9077,4001019572882,251.265841,1.6724428,false,true,false,false
9078,4001019573022,251.2848495,1.6777548,true,false,false,false
9079,4001019652679,116.2251848,39.4445424,false,false,false,true
9080,4001019653824,116.1982827,39.46296,false,false,false,true
9081,4001019654192,116.2384978,39.4683528,true,false,false,false
9082,4001019662477,204.595662,48.2540923,true,false,false,false
9083,4001019663851,204.5427025,48.2795471,true,false,false,false
9084,4001019666841,250.8005284,31.9407555,false,true,false,false
9085,4001019749395,39.85109960000001,-1.5179896000000002,true,false,false,false
9086,4001019749701,39.871847,-1.5409548,false,false,false,true
9087,4001019751845,178.6784254,-33.5552244,true,false,false,false
9088,4001019756674,178.6833241,-33.5230287,true,false,false,false
9089,4001019756792,178.66352340000003,-33.520955900000004,false,true,false,false
9090,4001019794961,116.2301383,39.4398856,true,false,false,false
9091,4001019810202,52.417289,-2.2225543,true,false,false,false
9092,4001019810227,52.3988963,-2.2225227000000003,false,false,true,false
9093,4001019810591,52.4395983,-2.2112038,false,true,false,false
9094,4001020557140,53.2397521,-27.8302714,false,false,false,true
9095,4001021171827,150.7129561,2.4229004,true,false,false,false
9096,4001021171874,150.7221296,2.4253577,false,false,false,true
9097,4001021172032,150.6858728,2.4319238,false,false,true,false
9098,4001021172036,150.6840655,2.4318732000000005,false,true,false,false
9099,4001021472144,259.3262325,59.60311579999999,false,true,false,true
9100,4001021472208,259.3438325,59.6056853,true,false,false,false
9101,4001021472874,259.30456380000004,59.62953470000001,false,true,false,false
9102,4001021798960,53.151285,-27.7159551,false,true,false,false
9103,4001022392193,202.3340006,-41.92866970000001,false,false,false,true
9104,4001022392840,202.3329058,-41.96333970000001,true,false,false,false
9105,4001022392929,202.3325188,-41.9630388,false,false,false,false
9106,4001022393196,202.3032513,-41.9569936,false,true,false,false
9107,4001022394001,202.3304648,-41.9412576,false,true,false,false
9108,4001022408740,50.5481124,-15.3980617,false,false,false,true
9109,4001022411390,50.5354571,-15.3822442,false,false,false,true
9110,4001022662119,187.9457524,12.2611257,false,false,true,false
9111,4001022662724,187.9458928,12.2942223,false,false,false,true
9112,4001022662787,187.948835,12.2961011,false,true,false,false
9113,4001022662796,187.9868715,12.2975143,false,false,false,true
9114,4001022662798,187.992892,12.297002,false,false,false,true
9115,4001022663018,187.9885503,12.302094,false,false,false,true
9116,4001022663033,187.9438947,12.3131927,false,false,true,false
9117,4001022663063,187.9805819,12.3045795,false,false,true,false
9118,4001022663076,187.9836781,12.3054147,true,false,false,false
9119,4001022710373,180.4847831,-18.995417,false,false,false,true
9120,4001022714154,180.5094229,-18.9694384,false,true,false,false
9121,4001022920964,198.125533,44.0606169,false,true,false,false
9122,4001022921065,198.1257854,44.0606355,false,false,false,false
9123,4001022923732,198.0950166,44.0692579,false,false,true,false
9124,4001022924263,198.0910692,44.0717835,false,false,false,true
9125,4001022926944,198.0606085,44.1045476,false,false,false,true
9126,4001022967900,180.466296,-18.9774905,true,false,false,false
9127,4001022972340,180.4493106,-18.9513528,false,false,false,true
9128,4001023076504,53.2546996,-27.836937899999995,false,false,true,false
9129,4001023243564,150.10341499999996,2.0189982,false,false,true,false
9130,4001023243598,150.1070291,2.0218819,false,true,false,false
9131,4001023243927,150.0744977,2.0353785,false,false,true,false
9132,4001023244202,150.110843,2.0494525,true,false,false,false
9133,4001023244454,150.0653313,2.0584224,false,false,true,false
9134,4001023244570,150.0768811,2.0652882,false,false,false,true
9135,4001023244714,150.10156669999995,2.0670288,false,false,false,true
9136,4001023244816,150.10119540000005,2.0667072,false,false,false,false
9137,4001023276422,116.2301476,39.4398812,true,false,false,false
9138,4001023277522,116.2237238,39.468305,true,false,false,false
9139,4001023647601,109.5724279,37.6516065,true,false,false,false
9140,4001023647704,109.5459588,37.6556912,false,true,false,false
9141,4001023647797,109.5474311,37.6625369,true,false,false,false
9142,4001023647855,109.5441292,37.6624181,false,true,false,false
9143,4001023647892,109.5484615,37.6632191,false,false,true,false
9144,4001023647950,109.57340659999998,37.6646299,false,false,false,true
9145,4001023648115,109.57507,37.6710294,false,false,false,true
9146,4001023648167,109.60335259999998,37.671247,false,false,true,false
9147,4001023648172,109.5806167,37.6715008,false,true,false,false
9148,4001023648198,109.604074,37.6713039,false,false,true,false
9149,4001023648341,109.556547,37.6754526,false,false,false,true
9150,4001023648695,109.5381323,37.6856761,false,false,false,true
9151,4001023648791,109.5837938,37.6879276,false,true,false,false
9152,4001023648801,109.5794573,37.68874570000001,true,false,false,false
9153,4001023648819,109.55092140000002,37.6884045,false,false,true,false
9154,4001023648910,109.5740485,37.6912936,false,false,true,false
9155,4001023649203,109.5707941,37.7008987,true,false,false,false
9156,4001023649276,109.5665837,37.7100733,false,false,true,false
9157,4001023798354,219.35400840000003,34.2155309,false,false,false,true
9158,4001023798370,219.3385114,34.217184100000004,false,false,true,false
9159,4001023798372,219.36839390000003,34.217159,false,true,false,false
9160,4001023798521,219.348976,34.2296945,false,false,true,false
9161,4001023798524,219.3486688,34.2295597,false,false,false,false
9162,4001023798534,219.3567599,34.2305676,false,true,false,false
9163,4001023798538,219.356341,34.230540500000004,false,false,false,false
9164,4001023819186,210.6768432,54.3285384,false,true,false,false
9165,4001024090660,29.0617517,-55.7238277,false,true,false,false
9166,4001024090718,29.0281864,-55.7210063,false,false,false,true
9167,4001024090763,29.0322782,-55.71887389999999,false,false,true,false
9168,4001024090813,29.0748345,-55.7157447,false,true,false,false
9169,4001024091138,29.0588085,-55.7048783,false,false,true,false
9170,4001024091336,29.0434148,-55.69823760000001,false,false,false,true
9171,4001024091343,29.0435704,-55.6985542,false,false,false,false
9172,4001024091614,29.0798158,-55.6889344,false,false,true,false
9173,4001024091643,29.079773,-55.68830790000001,false,false,false,false
9174,4001024091879,29.0451526,-55.6795677,true,false,false,false
