col1,SourceID,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
432,4000716959005,150.234261,2.2660937000000003,True,False,False,False
433,4000716960001,150.2522014,2.3130040000000003,False,True,False,False
434,4000716960095,150.2648674,2.3098576,False,False,True,False
445,4000717342023,149.52779099999995,2.1269453,False,False,False,True
446,4000717342035,149.4825773,2.1269933,True,False,False,False
447,4000717342075,149.52350090000004,2.1279967,False,False,True,False
448,4000717342125,149.4868715,2.1298865,False,False,False,True
449,4000717342372,149.486676,2.1393197,True,False,False,False
450,4000717342864,149.50286469999998,2.1583517000000003,False,False,True,False
451,4000717343349,149.5252135,2.1737026000000004,True,False,False,False
453,4000718304881,150.2917955,2.0431893,False,True,False,False
454,4000718304989,150.3309935,2.0470842,False,False,True,False
455,4000718305139,150.3329442,2.0515091,True,False,False,False
456,4000718305584,150.31472069999995,2.0664365,False,False,False,True
457,4000718305872,150.3099445,2.0762794,True,False,False,False
463,4000718914307,149.8230649,1.6373456,False,False,False,True
464,4000718914348,149.8068198,1.6400359,False,False,True,False
465,4000718915023,149.81651090000005,1.6673101,False,False,True,False
466,4000718915594,149.8372158,1.6873546999999998,True,False,False,False
467,4000718915731,149.8165067,1.6896615,False,False,False,True
474,4000719090138,149.8694638,2.1436149,False,False,False,True
475,4000719090141,149.9184872,2.142892,False,False,False,True
476,4000719090236,149.891807,2.1468895,True,False,False,False
535,4000719961385,150.6419072,2.0528397000000003,False,False,False,True
536,4000719961787,150.6257432,2.0742334,False,False,False,True
563,4000720394352,150.12416409999997,2.3331766,False,False,False,True
564,4000720394391,150.1122807,2.3386203,False,True,False,False
565,4000720394429,150.0800004,2.3465972,False,False,False,True
566,4000720394968,149.7778075,1.7663647,False,True,False,False
567,4000720395213,149.7854332,1.7759648,False,False,False,True
568,4000720395387,149.7506502,1.7854433999999997,True,False,False,False
569,4000720395617,149.7617813,1.7955202,False,False,False,True
584,4000720695271,150.5043672,2.7149076,False,False,True,False
585,4000720695373,150.4566105,2.7195637,False,False,False,True
586,4000720695963,150.491774,2.7467138,True,False,False,False
587,4000720696025,150.4621073,2.7494947999999995,False,False,False,True
588,4000720696341,150.49433259999995,2.760627,True,False,False,False
589,4000720698222,149.8596687,2.330053,False,False,False,True
612,4000721515651,149.7789918,2.4463042,False,False,False,True
618,4000721755651,150.1961304,2.1441356,False,True,False,False
619,4000721755999,150.21214780000005,2.1579865000000003,False,False,False,True
620,4000721756103,150.2056252,2.1608074,False,False,True,False
621,4000721756359,150.2014881,2.1677375,False,False,False,True
622,4000721758382,150.2095515,2.1904164,False,True,False,False
680,4000722935246,149.595897,1.6812,False,False,False,True
681,4000722935348,149.61766540000005,1.6848203000000002,False,True,False,False
682,4000722935587,149.5948003,1.694064,False,False,True,False
683,4000722935679,149.5857129,1.6966815,True,False,False,False
684,4000722935910,149.5845625,1.7071211,False,False,False,True
685,4000722935940,149.58605480000003,1.7081256,False,False,True,False
765,4000725014995,149.95355969999997,2.3861465,True,False,False,False
766,4000725015052,149.9402456,2.3888677000000005,True,False,False,False
767,4000725015231,149.953457,2.3955618,False,True,False,False
768,4000725015459,149.91352790000005,2.4059322,False,False,False,True
769,4000725015740,149.9596763,2.4223426,False,True,False,False
770,4000725832151,150.3103146,1.9893989,False,False,False,True
771,4000725832193,150.2837868,1.9909433,False,True,False,False
772,4000725832254,150.2688195,1.9931417,True,False,False,False
773,4000725832361,150.303871,1.9971746,True,False,False,False
774,4000725832458,150.2847659,2.0018044,False,False,True,False
775,4000725832925,150.2797436,2.0206404,False,False,True,False
812,4000728621343,150.04897150000005,2.0733403000000004,False,False,False,True
813,4000728621374,150.0580716,2.0758829,False,True,False,False
814,4000728621375,150.023076,2.0768313000000003,False,False,True,False
815,4000728621609,150.02875469999995,2.0920648,False,True,False,False
816,4000728621615,150.0348824,2.0919165,False,True,False,False
817,4000728622056,150.0469717,2.1186723,False,False,True,False
818,4000728622129,150.0423829,2.1248636000000003,False,True,False,False
828,4000729422923,150.4597777,2.1740119,False,False,True,False
829,4000729422984,150.45527090000004,2.1762498,True,False,False,False
830,4000729423354,150.4192866,2.1924121,False,True,False,False
831,4000729423479,150.4616227,2.1971533,False,False,True,False
832,4000729423531,150.44746,2.1991292,True,False,False,False
833,4000729423684,150.41867140000005,2.2050475,False,True,False,False
834,4000729423793,150.4550591,2.2098297,False,True,False,False
