mass,sfr
9.71,0.297
10.396,1.409
9.987,1.2
10.348,1.446
10.451,1.798
10.75,1.355
9.5,-0.2
9.756,-0.511
9.75,-0.3
9.416,0.863
10.604,1.093
9.831,1.663
9.752,2.119
9.474,1.059
10.517,-3.599
10.85,1.699
10.044,1.687
9.751,-0.2
10.765,1.194
9.75,0.2
9.495,0.733
10.11,1.363
9.329,0.93
10.559,1.996
9.659,1.23
8.599,-0.7
9.372,-0.058
10.302,1.303
9.421,1.8
8.264,-0.184
9.708,0.59
9.909,0.987
10.862,1.734
10.65,1.701
10.0,0.0
10.306,1.7
10.606,1.297
8.749,0.176
9.582,0.703
10.166,1.135
9.379,0.558
9.963,1.382
9.691,0.762
9.908,0.97
9.104,0.523
9.48,0.617
10.7,1.1
9.816,0.82
10.41,2.558
10.35,0.101
8.855,-0.578
9.528,0.071
9.963,1.205
10.291,0.749
9.737,-0.3
10.582,1.287
9.63,0.125
9.619,0.653
8.827,0.219
9.056,0.881
10.37,1.6
10.191,1.398
9.417,0.733
10.016,0.4
9.855,0.892
10.242,1.326
9.86,1.333
8.851,-0.997
9.303,-0.4
9.446,-0.379
10.489,1.417
9.559,0.292
8.93,1.088
9.899,0.075
10.216,1.667
9.669,0.571
10.803,1.006
9.994,0.811
9.738,-0.108
10.114,0.155
8.499,-0.538
8.661,0.461
10.902,-2.4
10.2,0.598
11.15,0.9
10.4,0.7
9.668,0.555
10.55,0.6
9.499,0.909
9.382,0.549
9.293,0.788
10.157,1.911
10.13,1.226
9.144,0.402
7.619,-1.28
10.695,1.921
9.355,0.123
9.312,-0.041
10.747,2.418
8.784,0.557
9.344,0.531
8.436,-0.673
10.286,1.389
11.05,-0.3
9.447,1.178
10.185,1.214
9.35,-0.7
10.591,1.146
10.95,-0.0
10.344,0.919
9.529,0.369
10.149,1.688
9.586,0.829
9.522,1.168
9.642,0.254
9.082,-0.83
8.974,-0.355
11.145,-0.001
8.699,0.053
10.382,1.646
10.818,0.937
8.305,-0.022
9.619,1.3
10.525,1.607
10.193,1.498
10.528,1.341
8.739,0.97
9.896,1.486
9.045,0.597
9.404,0.592
8.55,0.9
10.105,-0.109
10.838,1.749
9.935,1.263
9.55,-0.1
9.678,0.734
10.489,1.192
9.375,0.733
9.505,0.665
10.449,0.901
10.422,2.036
9.95,-0.3
10.146,1.2
10.215,1.399
9.699,0.838
9.787,1.247
8.562,-0.901
9.054,0.215
9.95,0.1
10.35,1.399
10.572,0.922
9.446,0.658
9.985,-0.459
9.562,1.336
8.763,-0.79
10.87,1.408
10.301,1.584
10.095,0.632
10.351,0.299
9.258,0.261
9.903,1.106
8.677,-0.182
8.552,0.03
9.632,0.472
9.536,1.14
10.717,1.753
8.634,0.2
9.747,0.901
10.572,1.929
10.699,1.405
8.741,0.263
10.307,0.631
11.051,-0.297
9.265,0.925
10.978,2.198
8.955,1.59
11.238,0.069
9.169,0.68
8.089,-1.148
8.818,0.897
10.734,1.103
9.653,1.28
10.696,1.561
10.566,1.285
9.802,1.215
10.9,0.099
10.55,0.7
10.124,1.637
10.357,1.902
10.203,2.194
9.959,-0.085
9.752,0.828
10.008,1.657
9.539,1.2
9.597,0.702
10.438,1.323
9.742,0.913
9.74,1.199
10.422,1.387
10.076,0.068
10.421,1.49
7.841,-1.306
9.17,0.698
8.999,0.796
9.569,1.325
9.762,0.753
9.748,0.46
10.081,0.112
9.644,1.063
9.7,1.699
7.585,-0.77
10.337,1.6
8.73,0.048
11.2,0.7
9.096,0.303
7.982,-1.505
8.65,0.078
9.831,0.935
9.423,-0.215
10.492,1.608
9.727,0.88
9.678,1.299
8.886,-0.396
8.999,-0.067
9.835,1.401
10.649,0.966
10.853,1.762
10.263,0.508
9.233,1.165
10.027,1.126
10.849,0.002
10.799,1.31
10.325,1.742
9.911,1.8
10.004,1.3
9.119,0.799
10.855,1.9
10.378,1.323
9.85,1.5
9.947,0.005
10.139,1.536
10.067,1.201
10.056,1.305
10.855,1.489
10.231,0.439
10.214,1.348
10.95,0.6
10.927,1.458
9.963,1.137
10.1,1.502
10.174,1.1
9.619,0.354
11.25,1.4
10.6,0.74
9.634,1.388
9.7,2.1
10.296,-0.417
10.297,1.328
10.588,2.392
9.677,0.806
9.604,0.839
10.218,1.999
9.577,1.802
10.956,2.0
10.438,1.248
9.707,-0.016
10.847,0.999
9.845,0.566
10.749,1.502
10.579,0.101
10.632,1.602
9.251,-0.493
8.968,-0.802
9.943,1.478
8.447,0.377
11.0,0.2
10.597,1.929
10.425,1.527
10.516,0.842
9.7,0.798
9.6,0.301
10.469,0.891
9.524,0.826
9.587,1.008
9.128,-0.258
10.236,1.64
10.225,0.719
10.55,0.1
8.834,0.207
10.627,1.6
10.6,1.601
8.773,-0.888
9.042,-1.076
10.7,0.709
9.358,1.1
10.85,2.497
10.551,1.401
11.062,2.289
10.906,2.207
10.32,1.458
9.31,0.923
10.301,1.231
9.468,1.0
10.12,1.007
10.134,0.311
10.512,2.1
10.602,1.021
10.754,0.884
10.598,0.902
9.15,0.221
7.522,-1.637
8.8,0.7
9.951,1.097
11.35,1.6
9.991,0.639
10.751,-0.001
9.328,0.304
9.055,1.369
10.349,0.341
10.13,1.8
11.059,1.5
9.868,1.499
10.42,0.3
9.347,-1.093
10.05,0.4
9.523,0.56
9.917,0.164
9.968,1.429
9.948,1.003
9.82,2.083
10.354,1.798
9.593,1.101
11.3,-0.4
10.436,0.42
10.311,1.031
9.875,1.322
10.301,1.702
10.043,0.588
9.457,0.0
10.175,1.232
9.998,2.09
9.631,1.125
10.056,1.794
9.65,-0.0
8.78,-0.184
9.154,0.684
9.274,0.594
10.16,1.361
9.091,0.331
10.351,2.022
9.62,0.564
9.6,0.782
9.0,0.357
8.598,-0.505
8.555,-0.338
10.648,0.907
10.495,0.836
9.979,0.731
10.45,1.192
10.608,0.633
10.8,-0.308
9.725,0.394
9.98,1.316
10.713,1.638
9.523,1.062
10.602,2.3
9.902,1.298
10.813,1.683
8.745,-0.101
8.864,-0.411
10.789,1.151
10.748,1.506
9.326,0.175
10.263,0.89
9.762,1.094
10.644,1.815
10.011,1.152
11.2,0.3
9.519,0.662
9.85,0.3
9.183,0.13
9.056,-0.212
9.305,0.491
9.05,-0.1
9.64,0.922
10.018,0.987
9.726,0.842
9.886,1.087
9.196,1.327
9.748,0.204
9.948,0.385
9.035,0.069
8.313,-0.812
9.965,1.45
10.881,2.3
7.418,-2.164
9.265,0.149
10.029,1.49
10.182,1.103
10.145,0.312
9.72,1.014
10.58,0.468
9.05,-0.499
10.496,1.485
10.583,0.453
7.906,-1.589
10.201,0.601
9.899,0.991
9.582,0.213
9.403,1.273
10.24,1.283
9.977,0.548
10.404,1.2
9.833,0.849
10.551,1.098
9.649,0.585
10.624,2.0
9.589,0.217
9.997,1.195
9.582,0.8
11.136,0.0
9.554,-0.296
9.393,0.974
10.603,0.594
9.762,1.568
9.553,0.501
9.61,1.218
10.04,0.341
10.054,0.798
9.485,1.074
10.535,1.043
10.525,1.889
10.635,0.882
9.806,0.998
10.764,1.509
10.15,-0.401
10.345,0.914
8.504,-0.593
10.5,0.4
