mass,sfr
9.055,-0.248
9.539,-0.273
9.67,0.478
8.746,0.619
10.292,1.524
11.295,1.511
10.098,1.01
9.558,1.9
10.131,1.582
8.923,0.033
9.854,0.802
9.967,1.279
9.294,-0.504
9.87,1.896
10.653,1.294
10.407,0.987
9.855,1.098
10.161,1.499
10.502,1.403
9.231,0.218
10.547,1.5
9.3,-0.2
10.305,1.703
9.796,0.914
9.444,0.412
10.785,1.834
9.34,0.145
11.25,0.1
10.233,0.54
9.446,0.729
10.396,-0.092
10.406,1.582
10.354,0.912
9.023,0.138
10.048,-0.302
10.917,1.849
9.37,1.047
9.611,0.647
10.863,0.158
10.043,2.136
10.225,1.823
10.75,-0.6
9.319,-0.024
9.306,0.691
9.28,-0.392
10.049,1.102
10.3,1.5
9.618,1.272
10.55,2.505
10.943,2.4
10.061,1.098
11.147,1.306
10.056,2.0
10.098,1.986
10.1,-0.8
10.493,1.181
10.373,1.841
8.032,-0.41
10.766,1.791
9.509,0.885
10.49,2.054
11.45,0.3
8.943,0.233
10.703,1.193
9.523,0.026
10.823,1.41
8.6,-0.599
10.928,2.2
9.213,0.473
10.561,1.901
10.066,0.854
10.045,1.588
8.8,-0.7
9.739,-0.151
9.25,-0.2
9.453,1.009
10.8,1.8
9.424,0.495
9.367,-0.2
9.659,1.095
10.868,1.699
9.638,1.293
9.53,0.321
8.899,0.843
10.064,1.435
8.344,-0.777
9.47,1.153
10.136,1.381
9.052,-0.343
9.022,0.612
9.775,0.945
10.25,1.3
10.107,0.292
10.453,1.611
9.956,1.062
9.248,-0.201
10.749,0.999
10.291,1.221
10.265,1.7
10.05,-1.099
9.117,0.347
9.671,0.299
10.798,-0.704
10.021,1.277
9.125,0.314
10.253,-3.772
9.201,-0.031
9.309,1.203
8.625,-0.997
9.241,0.161
9.723,1.645
10.636,1.634
9.322,0.299
7.284,-1.37
9.611,1.244
10.135,1.6
10.763,1.569
10.657,2.1
10.713,2.196
9.686,0.873
10.117,0.482
10.251,1.101
9.781,0.693
10.399,1.503
8.879,0.122
9.698,0.362
8.732,-0.049
8.397,0.221
9.436,1.275
10.051,1.426
9.995,1.24
9.99,1.409
9.683,1.381
9.335,0.5
9.18,-0.486
10.115,1.993
10.948,0.605
9.773,0.939
9.804,1.217
10.309,2.2
10.221,1.383
10.358,0.2
10.7,1.32
10.623,1.797
10.058,-0.8
10.15,1.401
10.629,1.253
9.703,0.464
9.764,2.066
9.94,0.138
11.05,1.208
9.259,-0.207
9.35,-0.301
9.391,-0.586
10.393,1.318
8.086,-1.441
9.354,-0.692
10.949,1.6
10.701,1.757
9.079,-0.648
8.007,-2.847
10.4,0.801
10.206,1.384
9.99,1.033
10.801,1.129
9.905,1.6
9.528,0.955
10.05,1.482
9.402,0.184
10.0,2.7
9.733,0.983
10.078,0.938
9.352,1.1
9.331,-0.639
9.635,0.818
10.154,1.942
10.416,2.1
9.063,0.042
9.266,0.563
10.485,2.105
10.111,1.5
9.661,1.517
9.633,0.672
11.1,0.6
10.394,1.501
9.548,0.017
11.159,1.803
9.507,1.4
9.013,-0.18
10.008,1.182
9.37,0.406
9.7,1.27
9.56,1.105
10.484,1.515
10.245,-0.209
10.655,1.232
10.399,2.4
10.119,1.327
9.493,-0.13
9.544,0.799
10.29,1.333
10.15,1.2
7.984,-0.774
9.877,1.665
10.583,1.703
10.565,1.601
10.95,0.4
9.339,1.026
9.897,1.643
9.014,-0.696
10.707,1.504
8.405,-1.001
9.95,1.298
10.85,0.297
9.8,1.9
10.225,1.642
9.894,1.2
11.15,0.4
10.65,-0.501
10.447,1.407
8.488,-0.72
9.5,-0.5
9.684,1.441
9.406,0.719
10.401,-0.897
9.668,1.1
9.406,0.804
10.118,1.9
10.052,0.928
9.171,0.345
8.995,-0.305
10.143,1.8
10.653,1.3
10.439,0.781
9.749,0.415
9.473,0.8
10.219,0.903
9.976,1.316
9.99,1.153
10.506,1.639
9.737,1.007
9.938,1.58
10.609,1.374
9.655,1.6
10.979,2.096
11.16,1.901
8.977,1.275
9.753,1.007
8.668,-1.082
9.5,1.087
10.53,-0.451
9.725,1.119
10.783,0.164
9.911,1.784
11.5,-0.1
10.6,0.1
9.5,1.475
10.333,1.899
10.654,1.494
10.319,2.3
10.092,-1.918
9.18,0.608
10.526,1.198
9.241,-0.069
9.656,0.199
10.065,1.017
9.818,0.561
7.532,-2.435
10.414,0.507
9.701,1.001
10.342,1.121
10.547,1.703
9.095,0.513
9.43,0.635
10.691,0.081
9.264,0.763
10.057,1.401
9.444,0.112
9.592,0.627
10.541,1.99
10.758,1.491
9.647,0.306
9.665,0.942
9.751,0.373
10.07,1.896
10.051,2.698
9.826,0.939
9.7,1.114
10.204,1.223
8.7,-0.999
9.947,1.899
9.906,1.501
10.139,1.248
10.502,1.4
9.877,1.548
10.264,0.826
9.425,0.757
10.399,1.499
10.352,1.685
9.885,1.155
8.08,-0.453
9.041,-1.791
10.841,1.211
10.7,0.101
9.656,1.9
10.477,1.704
8.684,-0.195
8.695,-2.008
8.364,-0.38
7.8,-0.786
10.848,0.997
10.491,0.277
9.223,1.114
9.641,0.902
9.11,0.118
10.84,1.525
9.475,0.871
10.372,0.456
11.017,1.583
10.252,2.465
10.605,1.892
10.751,2.641
10.548,0.703
11.247,-0.096
9.766,2.063
9.144,-0.005
10.301,1.262
8.604,-0.354
10.563,1.604
8.932,0.066
9.362,0.351
10.285,0.977
7.02,-2.113
10.272,2.234
10.244,1.302
10.251,0.4
10.456,0.735
9.298,0.882
10.4,-1.203
10.215,0.361
10.12,2.183
9.707,0.57
9.328,0.627
9.029,-0.336
9.652,0.279
8.9,-0.399
10.076,1.553
9.431,0.32
9.948,0.719
10.234,-0.668
10.091,0.635
10.512,0.972
10.365,1.937
10.248,0.214
9.052,0.131
9.883,0.136
9.402,-0.197
9.107,-0.216
10.352,1.8
7.707,-1.632
9.45,-0.399
9.871,0.104
10.271,0.957
9.14,0.776
10.65,0.3
9.229,0.079
9.65,-0.5
7.739,-1.891
8.706,-0.4
9.905,1.069
11.066,-0.016
10.247,1.302
11.204,2.112
10.601,-0.5
7.912,-0.129
10.593,2.378
9.707,1.6
10.803,2.1
9.013,-0.143
9.553,0.782
10.5,0.5
9.44,0.577
9.4,-0.1
10.015,1.077
11.1,0.552
9.55,-0.1
9.152,0.02
10.748,1.405
7.045,-1.288
10.103,1.5
9.903,1.204
10.725,1.78
10.686,1.428
8.794,-0.795
10.045,1.861
9.349,-0.498
8.488,-1.525
10.492,1.494
10.385,2.131
10.156,0.987
9.197,0.822
9.555,0.589
9.701,0.886
10.55,0.501
9.641,1.182
9.552,-0.093
9.591,0.259
10.039,0.235
9.954,1.415
10.037,1.398
10.608,0.889
11.138,1.155
9.138,-0.031
9.757,1.115
10.501,0.505
8.69,0.991
9.498,0.507
9.581,1.015
10.7,0.4
9.898,-0.297
10.2,0.143
10.335,0.626
9.17,0.7
10.022,1.207
11.25,1.4
10.966,2.588
10.674,1.648
10.021,0.939
9.585,0.192
10.274,1.598
9.758,1.656
11.366,1.482
9.869,1.165
9.439,0.535
9.302,1.088
9.879,-1.367
10.722,1.807
10.54,1.481
10.611,1.622
10.183,0.392
9.463,0.294
9.539,0.18
10.203,0.493
10.653,1.4
9.891,1.1
10.012,1.475
9.731,0.95
10.049,-2.089
9.43,-0.27
8.258,0.102
9.628,0.542
10.246,1.9
9.298,0.3
10.254,1.705
10.15,2.06
8.203,-0.915
9.814,1.144
10.55,0.3
10.059,0.876
9.837,1.098
9.75,0.2
10.247,2.0
10.525,1.534
10.349,2.297
9.475,1.122
9.604,0.409
9.835,0.822
9.9,1.7
9.249,0.488
9.736,1.0
10.765,0.297
7.045,-1.177
11.0,0.3
10.442,1.632
10.82,-0.271
10.451,1.523
10.418,1.401
9.502,0.702
11.002,-0.296
8.49,0.783
9.941,1.275
9.304,0.419
10.049,1.18
10.3,1.227
9.463,0.685
9.485,0.701
10.35,2.389
9.548,0.696
9.628,0.787
9.33,0.646
9.138,0.556
9.654,0.992
9.795,1.381
8.091,-0.905
9.842,0.848
10.185,2.178
10.482,1.899
10.279,1.722
9.944,1.927
9.949,0.914
9.805,0.282
8.153,-0.332
9.748,1.6
9.429,0.085
8.818,-0.223
9.547,0.595
10.448,0.899
9.296,0.109
9.305,-0.119
9.678,0.816
9.572,0.9
10.058,1.015
10.343,2.199
8.802,0.397
9.801,0.815
10.292,0.476
10.462,2.4
10.36,1.498
9.76,1.9
9.482,0.049
10.31,1.42
10.463,2.301
10.556,1.5
9.85,-1.8
9.383,1.024
10.437,1.817
9.917,1.532
9.946,1.5
10.246,1.362
9.636,1.055
10.5,0.8
10.052,0.201
9.69,0.878
10.75,0.9
10.542,1.4
9.927,1.119
8.921,0.679
9.473,0.844
8.422,-0.455
10.026,0.938
9.158,-0.13
8.741,-0.007
10.447,2.08
9.195,-0.077
9.392,1.396
10.929,1.418
10.798,1.105
9.834,1.433
9.615,1.49
9.519,0.762
9.787,1.113
9.052,-0.474
9.488,0.789
9.737,1.095
9.248,0.06
10.8,-0.4
10.534,0.669
10.268,1.715
10.337,2.026
9.634,1.203
11.45,-0.6
9.65,0.2
9.035,-0.504
10.641,1.222
8.015,-1.677
10.02,1.603
9.272,-0.306
9.684,0.798
10.402,1.6
8.922,-0.691
9.936,1.027
10.9,0.0
9.6,0.599
10.166,1.369
10.397,1.403
10.365,1.683
9.932,1.397
10.015,-0.103
10.1,-1.5
10.312,2.2
10.312,1.35
9.793,0.723
9.595,1.089
8.838,-0.83
10.683,2.205
10.45,1.206
10.018,0.257
10.091,1.442
10.903,-0.4
9.991,1.319
10.29,1.943
10.562,1.989
9.737,0.802
10.116,1.202
7.449,-0.198
9.925,1.761
10.126,2.049
10.901,0.402
10.193,1.8
10.2,0.1
10.899,1.604
10.605,1.214
8.976,0.177
9.603,0.657
10.001,1.299
9.508,1.695
10.591,1.125
9.984,1.4
9.929,1.593
10.95,1.502
9.711,0.881
10.612,2.05
7.523,-1.611
10.272,1.5
8.378,-0.758
10.239,2.1
8.623,0.014
9.515,1.502
10.036,1.95
9.541,1.0
7.659,-1.063
10.299,1.307
10.732,1.399
8.79,0.002
10.187,1.201
8.095,-1.099
9.631,0.768
11.068,1.6
9.8,0.1
10.267,-0.355
9.743,0.858
10.101,1.797
9.84,0.173
8.787,-0.123
9.101,-0.898
9.637,0.89
10.346,1.511
9.447,0.879
10.95,0.408
9.868,1.299
9.716,0.237
10.53,1.747
10.8,1.9
9.332,0.188
9.784,1.093
10.285,1.474
10.4,1.204
9.676,1.1
9.85,0.001
8.753,0.303
10.214,0.4
9.735,0.931
11.55,-0.2
9.635,0.968
9.624,0.808
9.467,0.675
9.053,0.809
10.445,-0.021
9.787,1.176
9.557,0.605
10.61,1.596
10.353,1.498
9.661,1.005
7.013,-0.9
10.934,0.003
10.058,2.132
9.256,-0.089
9.595,0.267
9.899,0.201
10.303,1.788
9.821,1.43
9.32,0.438
9.019,0.817
8.85,-0.102
9.656,0.801
10.35,-0.096
10.856,1.55
10.297,1.464
9.624,-0.044
7.032,-1.477
10.823,2.1
10.616,1.673
10.002,0.859
10.696,1.701
9.65,-0.2
11.45,1.0
9.75,0.8
10.408,1.8
9.666,0.828
10.223,1.331
9.205,-0.084
10.105,0.737
9.287,0.418
8.599,0.454
8.018,0.398
9.909,1.3
9.413,0.794
9.965,1.776
10.421,1.39
9.049,0.23
9.958,1.772
9.624,0.849
10.35,1.401
9.888,1.12
9.895,1.906
9.929,0.026
9.427,0.642
10.392,1.297
10.951,1.098
9.489,0.703
10.485,0.653
9.043,1.3
10.847,1.04
10.716,1.326
11.55,-0.2
10.725,1.121
9.996,1.101
11.144,1.684
10.751,1.601
10.725,1.315
10.9,1.2
10.321,1.799
