mass,sfr
10.2,-0.896
10.5,-1.5
10.9,0.896
9.711,0.804
9.564,0.557
10.7,1.799
10.556,1.981
9.111,-0.649
8.241,-0.501
10.422,1.734
10.863,1.6
11.0,0.5
9.207,-0.035
9.189,0.108
9.977,1.121
9.9,1.607
8.224,-1.473
10.595,-1.0
9.747,0.508
10.211,0.113
10.607,1.683
10.245,1.241
10.551,0.646
10.612,0.878
11.0,-0.805
10.32,0.741
10.156,1.251
10.85,0.594
11.077,0.047
10.473,1.8
9.773,0.651
10.018,2.0
10.101,0.101
11.233,2.058
9.531,0.661
10.347,1.009
11.0,1.6
10.15,0.299
10.546,1.403
10.415,1.603
10.05,-0.0
10.014,0.975
10.332,1.127
9.8,1.399
10.224,-0.3
11.197,-0.094
9.636,0.8
10.148,0.49
10.801,1.0
10.95,-0.6
10.09,0.451
10.451,-0.2
8.604,-0.901
10.057,2.196
9.935,0.787
11.001,2.1
10.555,-1.407
9.724,0.114
10.353,0.896
10.695,1.9
9.956,1.7
10.493,1.427
10.162,1.3
10.142,0.325
9.912,0.364
10.95,0.9
10.9,0.0
10.54,1.3
9.791,0.682
10.303,0.0
10.188,-4.637
9.395,0.909
10.958,0.288
10.36,1.478
9.933,0.724
10.998,0.497
10.53,1.482
9.891,0.923
9.75,-5.0
11.0,0.7
9.615,0.839
9.502,0.215
9.322,0.684
10.274,1.397
9.703,0.418
9.8,-2.8
9.988,1.4
8.577,0.315
8.051,-1.181
10.259,1.407
9.273,0.272
10.95,1.3
10.05,-0.1
9.836,0.895
9.809,0.744
10.075,1.588
10.361,1.7
10.012,1.171
10.597,0.7
10.973,-5.928
10.102,1.487
11.45,0.216
9.409,-0.282
9.83,1.209
9.85,-2.6
11.0,-0.799
11.079,1.25
10.933,1.497
9.875,0.607
9.134,-0.125
9.763,1.397
10.909,-5.97
9.765,0.909
10.33,0.06
9.082,0.128
10.151,-0.301
9.996,-0.099
9.437,1.181
9.543,0.518
9.719,1.002
10.78,0.755
10.48,1.707
10.514,0.027
10.371,1.163
11.301,-1.201
9.384,0.515
9.723,0.225
10.402,1.332
10.392,1.311
10.216,1.169
10.158,0.784
9.274,0.295
9.025,-1.0
9.016,-0.868
11.0,-1.599
10.5,-0.4
10.532,1.722
9.356,-0.487
10.657,1.926
10.0,0.893
10.862,0.981
8.849,0.895
9.983,0.671
10.816,-3.228
10.136,0.941
11.049,0.598
9.656,0.308
9.78,0.754
10.373,1.306
11.084,1.509
9.696,0.718
10.89,1.704
10.268,0.961
9.383,1.048
9.87,0.531
10.596,0.901
10.75,-0.8
10.65,0.412
7.979,-0.688
8.566,-1.867
11.161,1.706
9.206,0.992
10.478,0.788
9.938,0.075
10.445,0.905
10.068,0.997
11.102,-0.495
