col1,SourceID,RA_1a,Dec_1a,isStageOne,isStageTwo,isStageThree,isStageFour,ra_1,dec_1,type_1,zpdf_1,zpdf_l68_1,zpdf_h68_1,zminchi2_1,chi2_best_1,m_i_1,m_z_1,m_k_1,mass_med_1,mass_med_min68_1,mass_med_max68_1,mass_best_1,sfr_med_1,sfr_med_min68_1,sfr_med_max68_1,sfr_best_1,Separation_1,ra_2,dec_2,type_2,zpdf_2,zpdf_l68_2,zpdf_h68_2,zminchi2_2,chi2_best_2,m_i_2,m_z_2,m_k_2,mass_med_2,mass_med_min68_2,mass_med_max68_2,mass_best_2,sfr_med_2,sfr_med_min68_2,sfr_med_max68_2,sfr_best_2,Separation_2
131,4000707046151,150.2154644,1.6788845,false,false,false,true,150.215733,1.678153,0,2.442,2.199,2.682,2.485,0.92992962963,-20.355,-20.466,-19.682,9.223,9.131,9.298,9.24,0.417,0.307,0.519,0.424,2.805174677196409,150.216087,1.677391,0,0.51,0.459,0.583,0.472,0.49557307692,-17.488,-17.619,-17.867,8.467,8.37,8.634,8.399,-0.952,-1.478,-0.546,-1.51,5.824707192523402
132,4000707046655,150.2250439,1.6187669,false,false,false,true,150.224899,1.618762,0,0.202,0.194,0.209,0.202,6.5356551724,-19.457,-19.691,-20.061,9.5,9.466,9.534,9.46,-0.2,-0.268,-0.132,-0.265,0.5217301170550768,150.224788,1.617286,0,3.73,3.689,3.765,3.74,0.90062962963,-22.452,-22.504,-22.196,9.808,9.731,9.879,9.83,1.676,1.606,1.759,1.654,5.410187283057602
133,4000707047113,150.231987,1.6279281,false,true,false,false,150.231883,1.627976,2,0.429,0.422,0.437,0.429,8.7949655172,-22.158,-22.441,-22.854,10.606,10.568,10.644,10.626,0.687,0.61,0.764,0.764,0.41206526147038475,150.2318,1.628885,0,2.752,2.603,2.915,2.729,1.2382153846,-21.758,-22.124,-22.761,9.883,9.785,10.044,9.831,1.904,1.724,1.995,1.928,3.5099508387563474
134,4000707047768,150.1973361,1.6317701999999998,false,false,false,true,150.197254,1.631821,0,0.219,0.203,0.228,0.224,2.9165571429,-20.028,-20.305,-20.59,9.756,9.71,9.797,9.774,-0.511,-0.641,-0.395,-0.485,0.34746218648790606,150.196305,1.632649,0,0.09,0.083,0.097,0.086,5.0868571429,-18.291,-18.463,-18.423,8.863,8.821,8.9,8.835,-0.806,-0.879,-0.733,-0.838,4.876098786025006
135,4000707048117,150.22037580000003,1.6362457,false,false,false,true,150.220284,1.636304,0,0.22,0.172,0.231,0.225,2.5604034483,-20.311,-20.472,-20.643,9.75,9.716,9.784,9.775,-0.3,-0.368,-0.232,-0.244,0.39137909210555744,150.220554,1.637668,0,0.643,0.547,0.704,0.652,0.61751923077,-17.489,-17.848,-17.864,8.227,8.075,8.385,8.112,-0.4,-0.728,-0.101,-0.114,5.160278999178607
136,4000707049110,150.2269861,1.6481581000000003,false,false,false,true,150.226925,1.648192,0,0.913,0.903,0.921,0.913,0.67877857143,-20.286,-20.68,-20.929,9.416,9.363,9.495,9.421,0.863,0.703,0.999,0.851,0.25146796700241236,150.227327,1.648082,0,0.912,0.904,0.919,0.914,1.0506814815,-20.778,-21.145,-20.866,9.6,9.564,9.636,9.6,0.8,0.731,0.868,0.784,1.256951165457232
137,4000707049261,150.2360164,1.6511707999999998,true,false,false,false,150.235931,1.651217,0,0.565,0.555,0.58,0.561,3.2493222222,-19.056,-19.053,-19.327,8.662,8.569,8.715,8.669,0.13,0.038,0.316,0.079,0.3494327080029056,150.236343,1.650828,0,0.434,0.424,0.444,0.434,6.3295384615,-19.95,-19.965,-19.537,9.31,9.269,9.352,9.348,-0.384,-0.462,-0.316,-0.325,1.704176484288449
138,4000707049267,150.233506,1.6518248,false,false,false,true,150.233432,1.651864,0,0.581,0.573,0.588,0.582,1.2360586207,-22.405,-22.701,-23.011,10.604,10.567,10.641,10.627,1.093,1.02,1.166,1.123,0.30137160295519766,150.234908,1.652584,0,3.116,0.273,3.55,3.448,0.74640869565,-20.153,-20.212,-19.867,8.862,8.657,9.048,8.607,0.757,0.649,1.159,1.261,5.737856380770795
139,4000707050156,150.2422785,1.6650849,false,false,false,true,150.242134,1.665159,0,0.948,0.934,0.961,0.951,1.4696206897,-21.782,-22.124,-22.392,9.831,9.789,9.877,9.803,1.663,1.585,1.749,1.633,0.5844146205517371,150.24287,1.664797,0,0.936,0.835,0.998,0.966,0.39683703704,-18.65,-18.781,-18.408,8.581,8.43,8.696,8.582,-0.068,-0.341,0.197,-0.084,2.367429930134542
183,4000708110752,150.1191228,2.3255794,true,false,false,false,150.119221,2.32554,0,0.362,0.332,0.388,0.377,1.2028846154,-17.24,-17.401,-17.596,8.347,8.281,8.427,8.258,-0.546,-0.768,-0.405,-0.507,0.38064313718279896,150.11915,2.325979,0,0.609,0.602,0.617,0.608,0.86605714286,-21.015,-21.143,-21.337,9.738,9.69,9.787,9.74,0.787,0.711,0.876,0.768,1.4418832856645791
189,4000708129678,150.01782769999997,1.8758534,false,false,false,true,150.017804,1.876078,0,1.509,1.471,1.597,1.494,3.6594137931,-22.228,-22.172,-22.207,9.766,9.712,9.879,9.739,1.827,1.527,1.93,1.864,0.8130442638341869,150.017816,1.875321,0,0.334,0.326,0.343,0.335,3.2248724138,-20.105,-20.282,-20.468,9.61,9.57,9.644,9.616,-0.224,-0.432,-0.14,-0.229,1.9171022621555527
190,4000708130341,149.98885719999996,1.9082954,false,false,false,true,149.988806,1.908537,2,0.84,0.828,0.85,0.84,15.146896552,-22.243,-22.459,-23.561,9.752,9.717,9.787,9.759,2.119,2.038,2.303,2.129,0.889054915148096,149.988238,1.90883,0,1.332,1.251,1.396,1.312,1.10304,-21.045,-21.169,-21.062,9.569,9.442,9.66,9.599,0.831,0.604,1.086,0.783,2.9440440920959725
