col1,SourceID,RA,Dec,isStageOne,isStageTwo,isStageThree,isStageFour
96,4000706034718,53.05721679999999,-27.9500938,False,False,False,True
97,4000706034868,53.0603475,-27.9412951,False,True,False,False
98,4000706211853,1.8711075,0.8636326999999999,False,True,False,False
99,4000706213802,1.8897544,0.8910731,False,False,False,True
100,4000706216005,1.8689233,0.8630941999999999,True,False,False,False
101,4000706217826,1.8507695,0.8891207,True,False,False,False
102,4000706219125,1.887128,0.9167542,False,False,False,True
103,4000706273323,189.3480959,62.15704010000001,False,False,True,False
104,4000706273370,189.3548713,62.16860500000001,False,True,False,False
105,4000706311452,24.1704404,41.5393776,True,False,False,False
106,4000706490477,189.4526807,62.22941529999999,False,True,False,False
107,4000706591374,211.2124444,54.509271700000006,False,False,False,True
108,4000706591642,211.1883171,54.5147397,False,False,False,True
109,4000706593066,211.1980272,54.5428382,True,False,False,False
110,4000706638072,14.912267800000002,32.41740410000001,False,False,False,True
111,4000706649921,150.0592642,2.21971,False,True,False,False
112,4000706651683,191.0115865,-34.2220441,True,False,False,False
113,4000706651840,190.9989361,-34.209478600000004,False,False,True,False
114,4000706651979,190.9813256,-34.20437570000001,True,False,False,False
115,4000706652183,190.9965649,-34.1954958,False,True,False,False
116,4000706652318,191.02733490000003,-34.1896932,False,False,False,True
117,4000706652386,191.0238613,-34.1840117,False,False,True,False
118,4000706652411,190.9958899,-34.1826476,True,False,False,False
119,4000706652466,191.0038592,-34.17890560000001,False,False,False,True
120,4000706770401,204.3172883,-29.7475464,False,False,True,False
121,4000706960972,189.3054012,62.2323711,False,True,False,False
122,4000706967197,21.160932,3.8003584,False,True,False,False
123,4000706967932,21.1218809,3.7668928,False,False,False,True
124,4000707027789,184.6380271,37.9938623,True,False,False,False
125,4000707028527,184.6398174,37.99246779999999,False,False,False,True
126,4000707028616,184.5906333,37.9864993,False,False,False,True
127,4000707044781,189.2093405,62.210998,False,False,False,True
128,4000707045178,150.21968769999995,1.6685259,False,False,True,False
129,4000707045688,150.2112865,1.6802951000000002,True,False,False,False
130,4000707045792,150.2187753,1.6823293999999998,False,False,False,True
131,4000707046151,150.2154644,1.6788845,False,False,False,True
132,4000707046655,150.2250439,1.6187669,False,False,False,True
133,4000707047113,150.231987,1.6279281,False,True,False,False
134,4000707047768,150.1973361,1.6317701999999998,False,False,False,True
135,4000707048117,150.22037580000003,1.6362457,False,False,False,True
