"col1","SourceID","RA_1a","Dec_1a","isStageOne","isStageTwo","isStageThree","isStageFour","ra_1","dec_1","type_1","zpdf_1","zpdf_l68_1","zpdf_h68_1","zminchi2_1","chi2_best_1","m_i_1","m_z_1","m_k_1","mass_med_1","mass_med_min68_1","mass_med_max68_1","mass_best_1","sfr_med_1","sfr_med_min68_1","sfr_med_max68_1","sfr_best_1","Separation_1","ra_2","dec_2","type_2","zpdf_2","zpdf_l68_2","zpdf_h68_2","zminchi2_2","chi2_best_2","m_i_2","m_z_2","m_k_2","mass_med_2","mass_med_min68_2","mass_med_max68_2","mass_best_2","sfr_med_2","sfr_med_min68_2","sfr_med_max68_2","sfr_best_2","Separation_2"
13097,4001158041299,150.00171880000005,2.2447901000000003,1,0,0,0,150.001591,2.244984,0,0.504,0.493,0.514,0.506,3.0850517241,-23.565,-23.855,-24.14,11.216,11.173,11.249,11.249,0.7,0.632,0.768,0.774,0.8358281336410567,150.001634,2.243362,0,0.47,0.458,0.48,0.472,1.4222551724,-20.243,-20.45,-20.707,9.782,9.743,9.825,9.785,-0.239,-0.483,-0.138,-0.235,5.150201853636988
13098,4001158041300,150.0304892,2.2440207,0,0,1,0,150.03077,2.243533,0,1.949,1.87,1.984,1.977,5.4159285714,-21.927,-22.941,-23.14,9.929,9.883,9.976,9.933,2.052,1.966,2.138,2.076,2.0255529452427354,150.03077,2.243533,0,1.949,1.87,1.984,1.977,5.4159285714,-21.927,-22.941,-23.14,9.929,9.883,9.976,9.933,2.052,1.966,2.138,2.076,2.0255529452427354
13099,4001158041347,149.9988611,2.2478318,0,0,0,1,149.998935,2.247808,0,0.66,0.653,0.667,0.661,3.0175517241,-22.963,-23.239,-23.269,10.605,10.568,10.639,10.595,1.892,1.818,1.965,1.88,0.27930174328867496,,,,,,,,,,,,,,,,,,,,
13100,4001158041481,150.00616719999996,2.2533843,1,0,0,0,150.006706,2.253204,0,0.826,0.817,0.835,0.826,2.9727642857,-22.751,-22.942,-23.243,10.95,10.916,10.984,10.967,0.2,0.132,0.268,0.235,2.0439783065403034,150.006706,2.253204,0,0.826,0.817,0.835,0.826,2.9727642857,-22.751,-22.942,-23.243,10.95,10.916,10.984,10.967,0.2,0.132,0.268,0.235,2.0439783065403034
13101,4001158041568,149.994148,2.2578697,1,0,0,0,149.994229,2.257833,0,0.601,0.594,0.609,0.602,3.9803103448,-22.804,-23.258,-23.956,11.25,11.216,11.284,11.177,-0.1,-0.168,-0.032,-0.158,0.3199285516625788,149.992535,2.257453,0,0.585,0.571,0.603,0.586,1.696337931,-21.558,-21.954,-22.581,10.5,10.466,10.534,10.524,-0.0,-0.069,0.068,0.049,5.993075988335288
13102,4001158041630,149.998346,2.2609,0,0,1,0,149.99849,2.261542,0,1.557,1.507,1.607,1.599,1.0057827586,-22.679,-22.971,-23.58,10.466,10.422,10.508,10.485,2.1,2.031,2.169,2.12,2.368536604056521,149.99849,2.261542,0,1.557,1.507,1.607,1.599,1.0057827586,-22.679,-22.971,-23.58,10.466,10.422,10.508,10.485,2.1,2.031,2.169,2.12,2.368536604056521
13103,4001158041669,150.0335675,2.2625436000000003,0,0,1,0,150.033844,2.262562,0,0.833,0.824,0.842,0.833,2.5071413793,-22.287,-22.348,-22.446,10.242,10.203,10.285,10.284,1.226,1.14,1.444,1.228,0.9968272834170928,150.033989,2.261666,0,0.262,0.254,0.272,0.262,3.0389689655,-20.337,-20.604,-20.978,9.79,9.753,9.834,9.787,0.237,0.144,0.48,0.203,3.504350321695258
13104,4001158041897,150.0264248,2.2735248,1,0,0,0,150.026753,2.273614,0,1.211,1.203,1.219,1.211,2.2190206897,-22.793,-22.995,-23.409,10.4,10.364,10.436,10.406,2.093,2.025,2.166,2.07,1.223482974431295,150.027288,2.273293,0,0.671,0.663,0.679,0.672,1.1004111111,-21.004,-21.221,-21.38,10.016,9.974,10.051,10.018,-1.588,-1.686,-1.512,-1.546,3.215251483639918
13110,4001158623026,150.0071125,2.7001325,0,1,0,0,150.007393,2.700779,0,0.737,0.729,0.746,0.737,3.2571035714,-20.789,-20.865,-20.451,9.515,9.473,9.549,9.525,-0.071,-0.155,-0.003,-0.044,2.536577085969698,150.007393,2.700779,0,0.737,0.729,0.746,0.737,3.2571035714,-20.789,-20.865,-20.451,9.515,9.473,9.549,9.525,-0.071,-0.155,-0.003,-0.044,2.536577085969698
13111,4001158624031,150.0116031,2.7135977,0,1,0,0,150.011701,2.713684,0,0.99,0.977,1.0,0.992,1.253262963,-21.445,-21.522,-21.785,9.889,9.807,9.938,9.908,1.024,0.94,1.181,1.039,0.46952911833093436,150.011657,2.713033,0,0.487,0.256,0.75,0.782,2.8585642857,-18.309,-18.484,-17.699,8.801,8.712,8.881,8.788,-1.162,-1.355,-0.97,-1.406,2.042138798697451
