"col1","SourceID","RA_1a","Dec_1a","isStageOne","isStageTwo","isStageThree","isStageFour","ra_1","dec_1","type_1","zpdf_1","zpdf_l68_1","zpdf_h68_1","zminchi2_1","chi2_best_1","m_i_1","m_z_1","m_k_1","mass_med_1","mass_med_min68_1","mass_med_max68_1","mass_best_1","sfr_med_1","sfr_med_min68_1","sfr_med_max68_1","sfr_best_1","Separation_1","ra_2","dec_2","type_2","zpdf_2","zpdf_l68_2","zpdf_h68_2","zminchi2_2","chi2_best_2","m_i_2","m_z_2","m_k_2","mass_med_2","mass_med_min68_2","mass_med_max68_2","mass_best_2","sfr_med_2","sfr_med_min68_2","sfr_med_max68_2","sfr_best_2","Separation_2"
2747,4000789407279,150.3262743,1.863066,1,0,0,0,150.32615,1.862661,0,0.824,0.812,0.834,0.826,1.5977857143,-21.881,-22.057,-22.774,10.459,10.412,10.512,10.49,1.06,0.912,1.347,0.992,1.5250543441676072,150.32615,1.862661,0,0.824,0.812,0.834,0.826,1.5977857143,-21.881,-22.057,-22.774,10.459,10.412,10.512,10.49,1.06,0.912,1.347,0.992,1.5250543441676072
2763,4000789621824,150.4347544,1.5901021,0,0,1,0,150.434816,1.590232,0,0.53,0.523,0.538,0.531,1.958528,-22.059,-22.298,-22.338,10.246,10.211,10.284,10.238,1.298,1.227,1.369,1.269,0.5175198519986483,150.434437,1.591948,0,3.555,3.387,3.661,3.381,1.0822565217,-22.462,-22.592,-22.478,9.93,9.771,10.059,9.838,1.581,1.445,1.982,1.933,6.742687470302135
2823,4000791383356,150.4991737,2.2961735,0,0,0,1,150.499151,2.296316,0,0.816,0.807,0.825,0.816,2.7893821429,-23.004,-23.125,-23.527,10.87,10.802,10.918,10.895,1.408,1.335,1.481,1.398,0.5194578307158195,,,,,,,,,,,,,,,,,,,,
2824,4000791383871,150.5090165,2.3165879,0,1,0,0,150.50901,2.316689,0,1.47,1.444,1.492,1.475,2.6830571429,-22.277,-22.594,-23.32,10.475,10.315,10.527,10.505,1.254,1.149,2.071,1.205,0.36471022322555013,150.509094,2.31646,0,0.995,0.986,1.003,0.995,9.1656206897,-22.004,-22.273,-22.213,9.4,9.366,9.434,9.382,2.1,2.032,2.168,2.044,0.53825534750457
2825,4000791383949,150.4975355,2.3196987,1,0,0,0,150.497502,2.319856,0,0.66,0.653,0.667,0.657,1.7732321429,-20.194,-19.923,-20.033,9.221,9.171,9.266,9.244,0.426,0.341,0.499,0.39,0.5789590395357531,150.497052,2.319918,0,1.237,1.214,1.311,1.238,1.7719653846,-19.208,-19.122,-20.212,8.771,8.683,9.021,8.729,0.798,0.449,0.889,0.855,1.9099746515647005
2828,4000793994393,150.1621092,2.735851,0,1,0,0,150.162291,2.735507,0,0.739,0.731,0.749,0.738,1.4826724138,-22.609,-22.783,-23.411,10.681,10.636,10.729,10.656,1.599,1.517,1.674,1.634,1.4003581184385279,150.163184,2.736039,0,2.564,2.395,2.782,2.407,0.87017037037,-20.672,-20.738,-20.438,9.131,8.991,9.255,9.102,0.894,0.817,0.973,0.868,3.9236812496112083
2829,4000793995061,150.1836331,2.7640824,0,0,1,0,150.183669,2.763943,0,0.669,0.661,0.681,0.667,1.9322758621,-22.355,-22.638,-22.911,10.35,10.316,10.385,10.337,1.7,1.632,1.768,1.697,0.5181771145747961,150.18367,2.762439,1,0.059,0.051,0.066,0.059,38.6425,-17.559,-18.051,-17.746,8.1,8.066,8.134,8.719,-4.1,-4.168,-4.032,-6.036,5.91772770498843
2859,4000795168285,150.2051601,1.8628323,1,0,0,0,150.205036,1.863139,0,0.967,0.955,0.98,0.967,1.1816035714,-21.245,-21.425,-21.247,9.754,9.702,9.807,9.83,0.959,0.695,1.068,0.695,1.1909930843641288,150.204633,1.863095,0,0.966,0.952,0.994,0.961,1.0617724138,-20.67,-20.973,-21.346,9.512,9.465,9.581,9.496,1.021,0.824,1.144,1.12,2.1192722482191058
2860,4000795168536,150.232407,1.8728897,0,1,0,0,150.232054,1.873086,0,0.763,0.754,0.771,0.763,2.55355,-21.086,-21.126,-21.323,9.253,9.217,9.287,9.283,1.3,1.232,1.368,1.311,1.4534800040912257,150.231787,1.872311,0,1.761,1.181,2.637,1.302,0.49912692308,-19.247,-19.387,-19.041,8.79,8.581,8.95,8.888,0.195,-0.13,0.523,0.073,3.052331342725531
2872,4000795999116,149.5408915,2.1913832,0,0,1,0,149.541081,2.191913,0,1.012,1.002,1.022,1.011,1.258675,-22.966,-23.153,-23.39,10.682,10.641,10.727,10.673,1.598,1.529,1.668,1.598,2.025446423199439,149.541593,2.190732,1,0.345,0.337,0.354,0.345,11.387777778,-18.742,-18.865,-18.061,8.95,8.916,8.984,8.993,-5.8,-5.868,-5.732,-5.762,3.4444389067765786
2873,4000795999862,149.537755,2.2211248,0,1,0,0,149.537496,2.221297,0,1.02,1.012,1.028,1.02,2.1644071429,-21.304,-21.764,-21.399,9.75,9.716,9.784,9.751,0.4,0.332,0.468,0.368,1.1190909848163744,149.539116,2.221125,0,0.829,0.809,0.847,0.831,1.0213571429,-20.453,-20.561,-20.703,9.455,9.365,9.568,9.461,0.551,0.321,0.784,0.534,4.895918958635783
2874,4000795999870,149.5374679,2.2208871,1,0,0,0,149.537479,2.220919,0,0.939,0.929,0.951,0.94,1.4640571429,-20.298,-20.574,-20.768,9.44,9.395,9.485,9.423,0.71,0.635,0.783,0.686,0.12158383612460208,149.537753,2.220367,0,0.645,0.489,1.463,0.624,0.88273636364,-17.818,-17.871,-17.569,8.031,7.74,8.297,8.052,-0.472,-0.73,-0.173,-0.764,2.134845486426971
2947,4000800019563,149.6254594,1.7591569,0,1,0,0,149.62553,1.759323,0,0.345,0.336,0.355,0.344,2.5076655172,-21.715,-21.928,-22.272,10.306,10.268,10.343,10.254,0.696,0.626,0.767,0.67,0.6496865290474139,149.625613,1.757335,0,0.546,0.532,0.563,0.543,0.90586551724,-19.75,-19.947,-20.102,9.299,9.237,9.376,9.302,0.21,0.069,0.386,0.227,6.582086223823654
2948,4000800019711,149.6142426,1.7660778,0,1,0,0,149.614433,1.765083,0,0.948,0.934,0.969,0.944,1.2662357143,-20.526,-20.779,-21.081,9.44,9.388,9.495,9.441,1.0,0.928,1.073,0.991,3.6462238597886234,149.614433,1.765083,0,0.948,0.934,0.969,0.944,1.2662357143,-20.526,-20.779,-21.081,9.44,9.388,9.495,9.441,1.0,0.928,1.073,0.991,3.6462238597886234
2949,4000800019783,149.5890267,1.7682631999999998,1,0,0,0,149.589062,1.76863,0,0.748,0.738,0.759,0.745,1.3295111111,-20.03,-20.023,-20.32,9.212,9.108,9.294,9.273,0.484,0.336,0.714,0.393,1.3265750551129663,149.589354,1.769005,0,0.751,0.738,0.768,0.747,0.96575862069,-20.14,-19.947,-19.93,9.125,9.075,9.176,9.113,0.571,0.498,0.661,0.545,2.9186443268453135
2950,4000800019798,149.5863979,1.7691423,0,1,0,0,149.58645,1.769332,2,0.832,0.824,0.841,0.831,18.88668,-23.091,-23.437,-24.671,10.656,10.606,10.702,10.706,2.498,2.43,2.567,2.516,0.7081842607993627,149.587188,1.769741,0,0.795,0.784,0.808,0.793,0.700812,-20.662,-20.427,-20.596,9.492,9.449,9.54,9.493,0.683,0.61,0.769,0.678,3.567642707874363
2951,4000800324018,150.4217362,2.2040791,0,0,1,0,150.421332,2.204785,0,1.452,1.38,1.531,1.484,0.59833076923,-20.285,-20.453,-20.757,9.407,9.319,9.488,9.354,0.734,0.63,0.846,0.695,2.927822084833609,150.421332,2.204785,0,1.452,1.38,1.531,1.484,0.59833076923,-20.285,-20.453,-20.757,9.407,9.319,9.488,9.354,0.734,0.63,0.846,0.695,2.927822084833609
2952,4000800324520,150.43233069999997,2.2301281000000004,0,0,0,1,150.432299,2.229796,0,2.369,2.341,2.383,2.375,2.3795703704,-22.937,-22.71,-22.651,9.953,9.912,9.991,9.953,1.7,1.632,1.768,1.719,1.2009859992402678,,,,,,,,,,,,,,,,,,,,
2953,4000800324584,150.4209245,2.2343446,0,0,0,1,150.420912,2.234037,0,1.374,1.351,1.401,1.364,3.7092142857,-22.914,-22.863,-22.879,10.301,10.264,10.337,10.298,1.584,1.516,1.662,1.561,1.1082725712063164,,,,,,,,,,,,,,,,,,,,
2954,4000800324597,150.4526184,2.2355286,0,1,0,0,150.452651,2.23532,0,0.572,0.563,0.58,0.572,5.8286896552,-20.876,-21.172,-22.306,10.094,10.029,10.19,10.032,1.336,1.063,1.459,1.373,0.7600614026887142,150.453404,2.236043,0,1.025,0.923,1.21,1.046,6.73636,-18.675,-18.843,-18.875,8.393,8.151,8.626,8.789,-0.141,-0.51,0.165,-0.708,3.378702003810683
3003,4000802128849,149.56404540000003,2.7695642999999994,0,1,0,0,149.563804,2.769597,0,0.437,0.41,0.456,0.453,3.8262857143,-20.285,-20.433,-20.69,9.801,9.766,9.836,9.831,-0.198,-0.268,-0.129,-0.193,0.875971020677262,149.564509,2.769965,0,1.086,0.967,1.269,1.023,1.7528222222,-20.013,-20.209,-19.734,9.173,8.995,9.275,9.315,-0.152,-0.34,0.188,-0.458,2.204492510722404
3004,4000802129318,149.579667,2.7880255000000003,0,1,0,0,149.579494,2.787869,0,0.86,0.853,0.867,0.861,1.0866142857,-21.031,-21.22,-21.239,9.697,9.662,9.734,9.705,0.411,0.336,0.487,0.415,0.8392745364086562,149.580077,2.788663,0,2.254,1.54,2.673,2.572,0.48468076923,-19.595,-19.774,-19.918,8.758,8.515,8.97,8.353,0.449,0.323,0.594,1.011,2.727717987946596
3005,4000802129426,149.56869819999997,2.7912102,0,0,1,0,149.568692,2.791195,0,0.917,0.873,0.967,0.922,1.1699964286,-20.012,-20.098,-20.442,9.196,9.031,9.303,9.316,0.524,0.32,1.01,0.335,0.05908704963898853,149.569284,2.791107,0,0.317,0.307,0.326,0.316,2.7322586207,-19.771,-19.919,-19.829,9.125,9.047,9.196,9.154,0.21,0.063,0.422,0.354,2.1388913152703295
3006,4000802129440,149.5952846,2.7923311,0,1,0,0,149.595191,2.792245,0,1.429,1.413,1.44,1.431,4.8913928571,-24.868,-25.196,-25.446,11.378,11.336,11.421,11.371,3.0,2.932,3.068,2.995,0.4575453935521664,149.596067,2.792985,0,0.908,0.775,1.121,0.91,0.99248846154,-19.247,-19.488,-20.169,9.003,8.814,9.163,9.018,0.584,0.363,0.87,0.532,3.6682601688445993
3007,4000802129460,149.5996461,2.7931586,1,0,0,0,149.5997,2.792929,0,0.944,0.935,0.954,0.944,1.336125,-23.097,-23.384,-23.803,10.865,10.818,10.924,10.817,1.496,1.363,1.735,1.425,0.8489779460687188,149.59921,2.794199,0,2.386,2.278,2.52,2.353,0.56950357143,-21.338,-21.461,-21.175,9.434,9.301,9.53,9.411,1.113,1.035,1.191,1.124,4.060448252290635
3008,4000802129465,149.57773569999995,2.7932614,0,1,0,0,149.578135,2.793822,0,3.255,2.985,3.435,3.024,0.412852,-21.679,-21.805,-21.843,9.893,9.732,9.993,9.962,1.031,0.887,1.39,0.9,2.476774174434929,149.578135,2.793822,0,3.255,2.985,3.435,3.024,0.412852,-21.679,-21.805,-21.843,9.893,9.732,9.993,9.962,1.031,0.887,1.39,0.9,2.476774174434929
3009,4000802129817,149.5605855,2.8090967,0,1,0,0,149.560678,2.809144,0,0.826,0.815,0.84,0.825,3.3621517241,-22.402,-22.596,-23.077,10.288,10.168,10.356,10.318,1.787,1.657,2.086,1.729,0.3736548389983058,149.562562,2.809066,0,1.551,0.547,2.528,2.425,0.54864166667,-20.226,-20.954,-17.801,8.15,7.84,8.416,7.943,-0.194,-0.5,0.072,0.317,7.107709315294825
3010,4000802198165,150.63573,2.7644265,1,0,0,0,150.635797,2.764055,0,0.504,0.492,0.519,0.5,1.1798285714,-20.26,-20.574,-21.135,9.628,9.561,9.691,9.616,0.808,0.684,0.892,0.834,1.358926374672401,150.635298,2.764476,0,0.118,0.111,0.127,0.118,12.473551724,-15.849,-15.907,-15.456,7.16,7.119,7.254,7.16,-0.217,-0.286,-0.138,-0.181,1.5635780031562936
3069,4000806644079,150.29324419999998,1.6672496,0,0,0,1,150.293217,1.667411,0,0.449,0.442,0.456,0.447,1.7790448276,-21.371,-21.567,-21.828,10.095,10.034,10.216,10.069,0.632,0.54,0.772,0.582,0.5892263491713601,,,,,,,,,,,,,,,,,,,,
3070,4000806644110,150.2935886,1.6676465,0,0,1,0,150.294979,1.667393,0,1.225,1.215,1.237,1.223,2.2755758621,-22.263,-22.316,-22.614,10.083,10.043,10.128,10.096,1.514,1.437,1.582,1.546,5.085867929236907,150.29282,1.66914,0,1.128,1.105,1.152,1.139,0.91184827586,-21.715,-21.952,-22.238,10.052,10.008,10.094,10.079,1.182,1.112,1.264,1.166,6.046272020969216
3071,4000806644410,150.277502,1.6820338,0,1,0,0,150.277007,1.682111,0,0.983,0.973,0.993,0.984,2.3290607143,-22.922,-23.057,-23.353,10.75,10.716,10.784,10.767,-0.8,-0.868,-0.732,-0.797,1.802783239681805,150.277007,1.682111,0,0.983,0.973,0.993,0.984,2.3290607143,-22.922,-23.057,-23.353,10.75,10.716,10.784,10.767,-0.8,-0.868,-0.732,-0.797,1.802783239681805
3072,4000806644592,150.30674069999995,1.6888927,1,0,0,0,150.306701,1.689071,0,1.398,1.366,1.414,1.403,5.4155357143,-22.812,-22.8,-22.693,10.206,10.167,10.241,10.181,1.598,1.53,1.667,1.565,0.6575852159325974,150.306847,1.6887,0,1.439,1.376,1.52,1.44,3.4048615385,-19.913,-20.119,-20.381,9.584,9.43,9.644,9.659,0.313,0.225,0.571,0.316,0.7921895166831717
3073,4000806644885,150.3088975,1.7014741000000002,0,0,0,1,150.308868,1.701594,0,0.512,0.502,0.521,0.512,1.639937931,-21.397,-21.715,-22.278,10.351,10.316,10.385,10.378,0.299,0.23,0.368,0.338,0.4445015024568098,,,,,,,,,,,,,,,,,,,,
3074,4000806645040,150.3089282,1.7131086,0,1,0,0,150.308795,1.71327,0,0.83,0.817,0.845,0.824,1.3449678571,-21.372,-21.402,-21.527,9.888,9.854,9.929,9.891,0.999,0.931,1.068,0.973,0.7532206809077797,150.309301,1.714158,0,0.801,0.61,0.915,0.907,0.37623884615,-17.516,-17.659,-17.64,8.248,8.066,8.399,8.362,-0.554,-0.868,-0.24,-0.772,4.00894538254369
3143,4000810280931,149.83708719999996,2.3459402000000003,0,1,0,0,149.83771,2.345833,0,1.369,1.344,1.406,1.353,3.5878214286,-22.653,-22.633,-22.497,10.14,10.104,10.183,10.155,1.5,1.432,1.568,1.489,2.2731992258142153,149.83771,2.345833,0,1.369,1.344,1.406,1.353,3.5878214286,-22.653,-22.633,-22.497,10.14,10.104,10.183,10.155,1.5,1.432,1.568,1.489,2.2731992258142153
3144,4000810280977,149.8350616,2.3484528,0,0,1,0,149.835395,2.348478,0,0.814,0.804,0.823,0.813,1.1049464286,-21.415,-21.366,-21.485,9.69,9.651,9.736,9.675,1.03,0.944,1.099,0.956,1.2026584247265675,149.834536,2.348571,0,0.44,0.204,0.53,0.464,0.53028148148,-16.126,-16.186,-15.905,7.367,7.209,7.511,7.456,-1.202,-1.453,-0.963,-1.461,1.9378660484899468
3145,4000810281124,149.84352019999997,2.3544165,1,0,0,0,149.843965,2.354426,0,0.37,0.362,0.378,0.371,3.4235285714,-19.47,-19.684,-20.378,8.907,8.863,8.946,8.929,0.6,0.532,0.668,0.642,1.600293728349642,149.843965,2.354426,0,0.37,0.362,0.378,0.371,3.4235285714,-19.47,-19.684,-20.378,8.907,8.863,8.946,8.929,0.6,0.532,0.668,0.642,1.600293728349642
3193,4000812323281,149.8619448,1.6436678,0,0,0,1,149.86183,1.643563,0,0.66,0.618,0.689,0.662,1.2475423077,-19.894,-20.112,-20.023,9.258,9.193,9.338,9.243,0.261,0.001,0.386,0.274,0.5594640659812563,,,,,,,,,,,,,,,,,,,,
3194,4000812323495,149.8703144,1.6539226000000002,1,0,0,0,149.870308,1.653395,0,0.531,0.52,0.543,0.532,0.52368214286,-19.93,-20.109,-20.141,9.432,9.384,9.484,9.508,-0.169,-0.369,-0.026,-0.165,1.8994996207260955,149.870308,1.653395,0,0.531,0.52,0.543,0.532,0.52368214286,-19.93,-20.109,-20.141,9.432,9.384,9.484,9.508,-0.169,-0.369,-0.026,-0.165,1.8994996207260955
3195,4000812323725,149.877197,1.665863,0,0,0,1,149.877228,1.666454,0,0.43,0.423,0.437,0.431,2.588062069,-21.32,-21.526,-21.944,9.903,9.864,9.939,9.945,1.106,1.033,1.179,1.098,2.1305224220468366,,,,,,,,,,,,,,,,,,,,
3197,4000812651724,150.724885,2.5251602,0,1,0,0,150.724898,2.525446,0,0.306,0.296,0.318,0.304,6.0563928571,-21.27,-21.563,-22.194,10.401,10.366,10.435,10.421,0.601,0.532,0.669,0.615,1.0299417665144206,150.72459,2.524227,0,0.767,0.712,0.836,0.745,0.576808,-18.545,-18.741,-18.919,8.495,8.344,8.665,8.511,-0.179,-0.473,0.145,0.025,3.5230711265920895
3198,4000812651757,150.7190758,2.5253016,1,0,0,0,150.719011,2.525466,0,0.832,0.824,0.839,0.833,3.345062069,-22.431,-22.504,-22.629,10.378,10.333,10.422,10.432,1.203,1.133,1.273,1.219,0.6360727086283563,150.719122,2.52505,0,0.371,0.363,0.378,0.371,6.1348888889,-18.215,-18.517,-18.857,8.38,8.325,8.449,8.369,0.427,0.164,0.521,0.494,0.9208744884804189
3199,4000812652266,150.6847061,2.5487523,1,0,0,0,150.684649,2.548944,0,0.68,0.668,0.715,0.674,2.3098103448,-22.387,-22.648,-23.048,10.776,10.733,10.819,10.768,0.735,0.611,0.865,0.729,0.7200256670910077,150.684209,2.549011,0,1.079,1.056,1.097,1.092,2.8996586207,-22.229,-22.481,-23.27,10.382,10.341,10.427,10.396,1.663,1.585,1.751,1.676,2.015824446169449
3200,4000812652335,150.7299838,2.5532081,0,0,1,0,150.72993,2.553404,0,0.491,0.482,0.499,0.492,1.1762214286,-20.749,-20.906,-20.794,9.685,9.592,9.753,9.723,0.363,0.253,0.59,0.34,0.7313008640925821,150.730334,2.552989,0,0.489,0.478,0.507,0.484,2.6505111111,-17.512,-17.762,-18.499,8.258,8.191,8.326,8.284,-0.042,-0.128,0.048,-0.035,1.4860697882745613
3222,4000812790129,149.4784898,1.8763486,0,0,0,1,149.478301,1.876273,0,0.198,0.191,0.206,0.196,1.3155214286,-19.005,-19.088,-18.862,8.677,8.628,8.736,8.735,-0.182,-0.422,-0.061,0.02,0.7318064808668807,,,,,,,,,,,,,,,,,,,,
3223,4000812790738,149.45493330000005,1.8999654,0,0,1,0,149.454704,1.900406,0,1.005,0.976,1.016,1.008,1.5425551724,-21.836,-22.115,-22.537,10.065,10.02,10.104,10.039,1.481,1.411,1.562,1.439,1.7878958502337725,149.455724,1.899287,0,2.596,2.312,2.802,2.749,0.33278307692,-21.454,-21.675,-21.887,9.944,9.771,10.028,9.977,1.013,0.879,1.382,1.003,3.749441136332358
3224,4000812790810,149.4933095,1.9047175,0,0,0,1,149.493433,1.904409,0,0.794,0.725,0.843,0.817,0.63818518519,-19.037,-19.062,-18.786,8.552,8.441,8.677,8.451,0.03,-0.184,0.357,0.404,1.1961952952626806,,,,,,,,,,,,,,,,,,,,
3236,4000812856633,149.9457177,1.919883,0,0,0,1,149.945715,1.920194,0,2.301,2.207,2.382,2.319,1.0079214286,-22.475,-22.563,-22.553,9.857,9.744,10.027,9.814,1.8,1.474,1.884,1.863,1.119642144767493,,,,,,,,,,,,,,,,,,,,
3237,4000812856691,149.9702948,1.9251912,0,0,1,0,149.970317,1.925445,0,0.449,0.443,0.457,0.448,4.5352068966,-23.093,-23.334,-23.644,10.984,10.91,11.029,10.998,1.314,1.235,1.393,1.315,0.9171647285288369,149.969136,1.924798,0,0.122,0.072,0.571,0.089,0.59318571429,-14.039,-14.418,-14.869,7.314,7.113,7.542,7.357,-1.642,-2.064,-1.205,-2.088,4.4030641626267135
3238,4000812856806,149.9770345,1.9329445,0,0,0,1,149.977038,1.933146,0,0.304,0.295,0.311,0.304,1.9789965517,-20.505,-20.696,-21.022,9.632,9.585,9.699,9.633,0.472,0.287,0.558,0.499,0.7255092965356366,,,,,,,,,,,,,,,,,,,,
3239,4000812856829,149.97849169999995,1.9311155,0,0,1,0,149.978469,1.931354,0,0.343,0.335,0.351,0.344,1.6592931034,-20.22,-20.316,-20.389,9.35,9.316,9.384,9.366,-0.2,-0.268,-0.132,-0.203,0.8624758165040834,149.979297,1.931462,0,0.322,0.293,0.347,0.333,0.50995,-16.893,-16.609,-16.506,7.982,7.919,8.05,7.969,-1.619,-1.77,-1.466,-1.6,3.1545405318267727
3266,4000812865094,150.0558796,2.5731882,0,1,0,0,150.05584,2.57333,0,0.909,0.858,0.927,0.86,4.6712142857,-23.082,-23.403,-23.851,10.917,10.871,11.186,10.883,-0.666,-0.757,-0.127,-0.681,0.5299737897926873,150.055187,2.572246,0,1.161,0.877,2.463,1.127,0.641916,-18.177,-18.386,-18.651,8.54,8.335,8.706,8.535,-0.056,-0.398,0.241,0.031,4.208258457764931
3267,4000812865165,150.05762230000005,2.5767797000000003,0,1,0,0,150.056831,2.575541,0,1.98,1.879,2.044,2.003,0.77519285714,-22.087,-22.389,-22.512,10.039,9.982,10.09,10.08,1.501,1.429,1.576,1.491,5.290001722051518,150.056831,2.575541,0,1.98,1.879,2.044,2.003,0.77519285714,-22.087,-22.389,-22.512,10.039,9.982,10.09,10.08,1.501,1.429,1.576,1.491,5.290001722051518
3268,4000812865169,150.05757219999995,2.5768715,0,0,0,0,150.057486,2.577003,0,0.664,0.652,0.703,0.656,5.2098571429,-21.179,-21.14,-21.345,10.114,10.072,10.149,10.115,0.409,0.331,0.479,0.411,0.5658722441921882,150.057991,2.577498,0,0.331,0.136,3.871,4.746,0.47064782609,-15.389,-15.136,-14.157,7.211,7.036,7.457,7.124,-1.797,-2.193,-1.414,-3.166,2.712071576352669
3269,4000812865407,150.08443069999996,2.5905824,1,0,0,0,150.084836,2.591055,0,1.443,1.416,1.47,1.444,1.2269571429,-22.358,-22.499,-22.577,10.103,10.016,10.197,10.007,1.758,1.37,1.92,1.866,2.240354944931116,150.084836,2.591055,0,1.443,1.416,1.47,1.444,1.2269571429,-22.358,-22.499,-22.577,10.103,10.016,10.197,10.007,1.758,1.37,1.92,1.866,2.240354944931116
3270,4000812865500,150.1030611,2.5954427000000004,0,1,0,0,150.102921,2.595432,0,0.703,0.693,0.713,0.703,1.9898259259,-20.37,-20.207,-20.235,9.147,9.11,9.186,9.181,0.867,0.796,0.953,0.899,0.5053129456171235,150.103362,2.5954,0,0.21,0.203,0.217,0.209,4.5751538462,-17.621,-17.662,-17.411,8.112,8.069,8.147,8.1,-0.698,-0.768,-0.628,-0.7,1.0929924911401727
3271,4000813114494,149.5849604,2.5596489,0,0,1,0,149.585797,2.559817,0,1.728,1.647,1.831,1.721,0.68785769231,-21.084,-21.023,-21.19,9.641,9.49,9.746,9.684,0.775,0.436,1.118,0.76,3.0690103516620892,149.585797,2.559817,0,1.728,1.647,1.831,1.721,0.68785769231,-21.084,-21.023,-21.19,9.641,9.49,9.746,9.684,0.775,0.436,1.118,0.76,3.0690103516620892
3272,4000813114730,149.60508969999995,2.5702267000000005,0,0,1,0,149.603696,2.569982,0,0.916,0.892,0.936,0.926,0.89755555556,-20.563,-21.083,-21.362,9.891,9.716,9.99,9.897,0.578,0.427,0.898,0.584,5.089096345275684,149.603696,2.569982,0,0.916,0.892,0.936,0.926,0.89755555556,-20.563,-21.083,-21.362,9.891,9.716,9.99,9.897,0.578,0.427,0.898,0.584,5.089096345275684
3273,4000813115194,149.587058,2.5956212000000005,1,0,0,0,149.586481,2.594847,0,0.742,0.733,0.75,0.74,2.1848344828,-21.988,-22.163,-22.325,10.16,10.117,10.197,10.181,1.205,1.132,1.278,1.209,3.4747591740321155,149.586481,2.594847,0,0.742,0.733,0.75,0.74,2.1848344828,-21.988,-22.163,-22.325,10.16,10.117,10.197,10.181,1.205,1.132,1.278,1.209,3.4747591740321155
3274,4000813117033,149.6263362,2.6469703,0,1,0,0,149.627246,2.647077,0,2.099,2.03,2.217,2.039,0.69493333333,-22.633,-22.613,-22.592,9.917,9.852,10.072,9.916,2.056,1.677,2.154,2.104,3.294256689476297,149.627246,2.647077,0,2.099,2.03,2.217,2.039,0.69493333333,-22.633,-22.613,-22.592,9.917,9.852,10.072,9.916,2.056,1.677,2.154,2.104,3.294256689476297
3275,4000813118345,149.6392137,2.6934414,1,0,0,0,149.639431,2.693539,0,3.327,3.247,3.364,3.347,3.0833,-23.472,-23.555,-23.554,10.455,10.403,10.506,10.467,1.905,1.834,1.976,1.899,0.856775600062493,149.640202,2.693185,0,0.747,0.152,0.984,0.859,0.47625769231,-16.676,-17.26,-16.38,7.411,7.204,7.607,7.54,-0.99,-1.227,-0.744,-1.225,3.671860881788329
3313,4000813960392,149.8420822,2.0769318,0,0,1,0,149.842342,2.076827,0,0.363,0.354,0.371,0.363,0.91484827586,-20.613,-20.773,-20.981,9.649,9.615,9.684,9.659,0.303,0.233,0.374,0.302,1.0079384942945824,149.84136,2.076587,0,1.849,1.52,2.337,1.725,0.4869,-19.004,-19.097,-18.921,8.659,8.441,8.826,8.847,0.023,-0.304,0.197,-0.331,2.8794935728004485
3314,4000813960772,149.8374679,2.0933586,0,0,1,0,149.837422,2.093671,0,0.384,0.376,0.393,0.385,1.4685206897,-20.908,-21.048,-20.96,9.75,9.701,9.793,9.75,0.506,0.415,0.598,0.442,1.136698266955791,149.837856,2.092624,0,0.523,0.508,0.538,0.528,1.7131888889,-18.91,-19.077,-18.433,8.596,8.547,8.661,8.585,0.035,-0.084,0.132,0.065,2.9905099853567916
3315,4000813960970,149.85271740000005,2.1002563,1,0,0,0,149.852712,2.100553,0,0.846,0.836,0.855,0.846,1.3642275862,-22.582,-22.656,-23.049,10.65,10.616,10.684,10.675,1.0,0.932,1.069,1.002,1.0682966537272938,149.853079,2.099615,0,0.679,0.654,0.701,0.697,1.1541103448,-21.496,-21.712,-21.958,10.122,10.072,10.168,10.197,0.839,0.673,1.032,0.698,2.6499636155321293
3316,4000813961362,149.83269330000005,2.1148214,1,0,0,0,149.834298,2.114764,0,2.145,1.948,2.437,2.144,1.4601111111,-18.807,-18.93,-19.759,8.891,8.727,9.002,8.989,-0.112,-0.214,0.204,-0.134,5.776682421939376,149.834298,2.114764,0,2.145,1.948,2.437,2.144,1.4601111111,-18.807,-18.93,-19.759,8.891,8.727,9.002,8.989,-0.112,-0.214,0.204,-0.134,5.776682421939376
3352,4000814279256,149.88542890000005,2.4551032000000004,0,1,0,0,149.88552,2.455128,0,0.331,0.315,0.344,0.339,2.5148185185,-19.459,-19.67,-19.75,9.641,9.598,9.682,9.637,-1.066,-1.152,-0.99,-1.101,0.33960464200780444,149.885692,2.45467,0,0.37,0.363,0.377,0.37,7.3525517241,-19.553,-19.82,-20.802,8.73,8.69,8.773,8.762,0.94,0.854,1.021,0.952,1.824162496663085
3353,4000814279449,149.8873915,2.4624685,0,1,0,0,149.887118,2.462477,0,0.913,0.905,0.921,0.913,1.751862069,-21.704,-21.83,-22.176,10.02,9.951,10.079,10.055,1.047,0.878,1.408,0.921,0.9841666248198423,149.886649,2.461969,0,1.92,1.344,2.31,1.274,1.1198785714,-20.281,-20.379,-19.762,9.236,9.13,9.319,9.236,0.34,0.043,0.482,-0.055,3.2195132344003494
