mass,sfr
9.329,0.655
8.657,-1.023
9.74,-0.075
8.945,0.304
10.65,2.0
9.96,0.129
10.064,1.108
8.697,0.369
11.123,2.041
10.606,0.687
10.678,-0.356
9.73,1.218
9.912,1.104
10.854,0.996
9.826,1.516
9.811,1.997
10.994,2.214
9.776,1.335
10.304,1.256
9.75,0.0
9.618,1.178
11.05,0.069
10.144,1.335
10.58,1.496
9.421,-0.289
10.499,2.348
9.529,0.278
10.5,0.1
9.4,0.26
9.339,-0.249
10.001,1.039
10.05,-0.396
9.8,2.1
10.153,0.499
9.8,-0.2
9.633,0.957
8.627,-0.095
9.675,0.919
10.802,2.069
10.95,0.4
10.162,1.786
9.536,0.505
9.497,1.321
10.339,1.402
10.504,2.3
9.619,0.981
9.499,0.514
10.289,1.491
10.85,-0.7
10.365,-0.2
10.614,2.229
10.557,0.095
10.356,0.375
10.705,-0.81
10.209,1.333
10.282,1.603
10.45,-0.198
9.135,-0.515
9.518,1.489
9.77,-0.06
9.315,1.113
9.548,0.599
11.256,-0.314
11.052,-0.304
9.91,1.501
9.496,1.2
10.813,0.528
9.2,-0.6
9.689,0.221
10.59,0.015
10.288,0.703
10.293,0.41
10.515,0.971
9.451,-0.138
10.665,1.799
9.936,1.602
9.501,0.665
10.591,1.954
9.479,0.261
10.306,1.53
10.1,1.118
9.933,2.0
9.186,0.798
10.239,1.294
9.919,0.135
9.419,-0.076
10.75,-0.4
10.536,1.694
10.859,1.701
9.793,0.796
10.083,1.78
9.669,1.503
9.728,1.108
10.148,1.918
9.602,1.002
10.43,-1.032
10.849,-0.3
9.775,1.18
10.168,1.49
10.296,0.106
9.626,0.237
11.088,0.624
9.692,1.116
10.549,-1.101
10.516,1.986
10.137,0.331
11.2,2.119
10.608,2.2
10.255,1.902
9.941,0.608
9.136,0.601
10.31,0.975
10.051,1.7
10.425,1.9
10.108,0.437
10.893,1.832
10.196,0.117
10.365,1.062
9.588,1.072
10.254,1.526
9.568,1.083
9.88,0.818
9.816,1.199
10.407,-0.125
10.65,0.2
10.003,1.51
9.753,1.14
10.387,2.6
10.782,-0.476
10.389,1.24
9.2,-1.099
10.97,1.561
11.048,-1.598
9.35,-0.496
10.788,1.233
7.712,-0.468
9.548,-0.165
10.389,-4.951
11.055,1.703
10.392,1.498
10.548,1.801
10.601,1.598
9.82,0.847
10.23,1.194
10.25,-1.7
10.75,-0.4
8.295,-0.945
10.095,1.7
11.045,1.009
9.701,0.615
9.579,0.714
9.265,1.057
7.813,-1.612
10.23,1.413
8.96,0.618
10.401,1.4
10.39,1.623
10.271,1.389
11.15,-0.399
10.655,1.603
9.889,1.486
9.327,0.912
9.459,1.192
9.177,-0.203
10.006,1.393
10.002,1.2
10.093,-0.345
10.042,1.164
9.11,0.301
10.358,1.017
11.133,2.156
10.402,0.595
10.665,2.299
9.56,-0.519
9.242,0.35
10.7,-0.2
9.9,2.5
10.896,0.985
8.601,-0.7
9.552,1.909
8.913,-0.34
10.75,0.3
10.046,1.108
10.9,0.0
11.093,0.192
9.463,0.786
9.467,1.329
9.41,1.0
9.344,0.187
10.475,1.254
10.681,1.599
9.253,1.3
9.75,0.4
10.306,0.696
9.44,1.0
10.656,2.498
10.094,1.336
9.801,-0.198
9.697,0.411
11.378,3.0
10.288,1.787
10.75,-0.8
9.888,0.999
10.14,1.5
10.401,0.601
10.917,-0.666
10.114,0.409
9.147,0.867
9.641,-1.066
10.02,1.047
10.541,1.426
9.41,-0.109
11.15,-0.246
10.715,1.404
9.002,-0.499
10.525,1.804
9.915,-1.254
10.25,2.001
10.452,1.794
11.047,1.196
10.509,2.2
9.955,1.133
9.775,1.118
10.247,-0.506
10.239,1.493
8.864,-0.024
10.403,1.387
9.871,1.17
9.343,1.517
10.632,-3.435
10.204,1.894
9.981,1.409
10.938,1.57
10.809,1.781
10.751,-0.999
9.078,0.169
