mass,sfr
10.75,0.5
9.952,0.101
9.715,0.899
9.481,0.202
9.873,1.13
10.081,0.261
10.159,2.704
9.963,1.21
10.522,1.268
9.677,1.145
10.459,1.597
10.269,1.518
9.544,0.93
10.362,2.047
9.525,1.176
9.647,-0.503
8.546,0.089
10.048,1.105
9.193,0.8
11.35,0.2
9.307,0.507
10.0,0.9
9.577,0.751
8.9,-0.8
9.686,0.873
9.963,0.954
10.6,-2.1
9.707,0.821
10.332,1.173
10.337,2.299
9.804,1.103
10.257,1.781
10.422,2.29
9.742,0.424
9.604,0.567
10.098,1.083
10.583,1.672
10.633,-1.407
10.61,2.0
10.098,1.5
10.655,1.8
9.998,1.959
9.724,-0.018
10.647,1.899
8.869,0.002
11.335,1.598
10.551,-1.003
10.864,0.564
10.432,1.958
9.443,0.21
9.241,0.396
9.779,0.995
10.045,1.439
9.25,0.0
9.953,0.527
8.323,-0.262
10.45,0.006
9.454,0.398
10.045,1.011
11.101,1.599
10.373,0.973
9.85,2.096
10.928,1.7
9.431,0.066
10.505,1.881
9.597,1.006
9.342,0.834
10.777,2.013
10.277,1.6
9.837,1.19
10.3,-0.1
9.812,0.518
8.781,0.195
10.293,1.696
10.356,-0.8
9.366,0.598
8.888,0.086
10.098,1.104
9.891,0.991
10.943,1.316
10.532,2.115
10.246,1.298
10.35,1.7
10.682,1.598
9.407,0.734
9.196,0.524
10.083,1.514
9.69,1.03
9.685,0.363
10.065,1.481
10.984,1.314
9.35,-0.2
9.891,0.578
9.649,0.303
9.75,0.506
9.834,1.149
10.889,1.757
10.209,1.6
11.187,0.827
9.973,1.5
10.906,-0.413
9.398,-2.625
10.85,-0.3
9.43,0.735
9.875,1.026
10.6,-0.501
9.303,0.777
9.673,1.164
10.699,0.202
10.167,1.727
10.688,0.979
10.149,1.308
10.826,2.098
10.554,1.375
10.83,-0.698
9.05,-0.104
10.995,2.196
10.847,-1.297
10.303,1.846
10.242,0.391
11.277,1.79
11.192,1.72
9.685,1.2
9.204,0.281
10.1,-2.6
10.837,2.102
11.175,2.583
11.155,-2.799
9.812,1.195
9.714,0.831
8.999,-0.3
10.008,1.293
9.823,0.874
10.19,0.999
9.859,1.002
9.414,0.263
9.752,1.433
9.358,-0.042
9.579,1.118
9.821,0.299
10.096,1.401
9.244,0.825
9.445,0.525
9.935,1.092
10.15,1.906
10.228,0.528
10.48,-0.239
9.974,1.656
10.61,1.284
9.51,0.514
10.45,0.4
11.445,1.91
10.55,-0.6
10.801,1.417
10.404,-0.191
8.779,0.399
9.735,1.56
9.963,1.6
9.239,0.519
11.225,1.746
9.857,0.01
10.114,2.09
9.429,0.843
10.372,1.799
9.861,1.198
11.214,-0.371
10.513,0.642
9.723,0.178
9.62,0.598
10.9,-3.9
9.939,1.558
9.897,2.193
9.494,1.232
10.111,1.687
10.473,1.941
11.283,1.594
9.601,-0.399
10.315,1.464
10.171,1.711
10.387,0.611
10.516,1.449
11.103,-2.202
10.45,0.001
10.147,1.675
9.957,1.803
10.002,1.135
10.131,1.407
8.764,-0.054
10.9,-0.2
9.086,-0.111
9.477,0.89
9.703,1.232
10.992,1.415
9.294,0.725
10.7,-0.2
10.275,1.346
10.434,1.421
10.201,0.712
10.599,1.899
9.557,0.168
9.921,1.702
10.238,1.758
9.604,0.462
10.5,-0.1
10.7,1.6
9.438,-0.825
10.412,1.6
10.309,1.791
9.65,1.796
9.299,1.9
10.336,1.505
9.718,1.006
10.099,1.221
10.279,1.273
10.754,1.501
10.684,1.9
10.862,1.604
10.84,1.928
10.278,1.572
10.9,1.2
9.05,0.338
9.922,1.301
10.287,2.349
10.563,1.6
10.974,1.634
10.0,1.4
9.747,0.307
9.782,1.293
9.7,1.108
9.846,-0.688
9.362,0.791
9.544,0.825
9.058,0.411
10.424,2.0
9.735,1.167
9.608,1.5
10.534,1.246
9.77,1.006
10.828,1.42
11.219,1.4
10.229,2.024
9.882,1.308
8.941,-0.071
9.454,0.934
9.928,1.51
8.999,1.585
9.592,0.955
10.381,1.578
10.543,1.249
10.5,1.6
9.719,0.993
8.429,-0.402
10.548,1.703
9.787,1.029
9.383,0.628
9.694,0.414
9.21,-0.866
10.011,1.655
9.914,0.992
9.738,0.692
10.075,1.786
10.058,1.418
9.352,0.54
9.684,1.288
9.5,-0.199
10.001,1.799
10.341,2.617
9.507,0.989
11.15,0.2
10.9,0.628
9.982,1.169
9.761,1.3
10.736,2.3
9.221,1.042
10.008,1.583
10.245,1.92
10.836,1.399
10.849,0.402
10.996,1.405
9.046,0.133
9.647,0.107
10.185,1.6
10.158,1.8
10.254,1.363
9.973,1.892
10.108,1.3
9.752,1.0
9.506,0.858
9.751,-0.402
9.878,1.203
9.641,0.784
11.11,1.675
10.397,1.504
9.61,0.898
9.749,0.101
10.368,2.0
9.509,1.206
9.72,1.766
9.494,0.894
10.201,1.995
10.398,1.5
11.066,1.527
10.214,1.704
10.802,1.83
11.021,1.601
9.365,1.335
10.405,-0.053
10.904,1.623
10.531,1.7
10.784,-0.125
9.992,1.305
11.024,1.283
9.612,1.5
10.288,1.81
10.112,1.698
9.141,0.619
10.255,1.625
9.98,0.159
10.148,1.484
10.709,1.503
10.537,1.432
10.803,1.505
11.145,0.0
8.766,0.687
10.38,-0.261
10.45,1.205
9.859,0.688
11.1,1.2
9.691,1.067
9.716,1.771
11.25,1.4
10.083,1.214
9.97,1.584
11.25,1.4
10.578,1.8
9.418,-0.085
10.101,1.688
10.143,-0.076
9.665,0.704
9.572,0.83
9.561,1.166
10.274,0.922
10.607,1.573
9.479,0.707
10.085,1.914
10.764,0.811
9.782,0.999
10.921,1.2
9.573,1.31
8.916,-0.689
10.325,1.991
9.687,-0.178
11.049,1.202
10.809,-0.267
9.789,1.462
8.489,-0.533
9.035,0.168
9.884,1.3
10.603,-5.521
10.719,2.473
9.196,1.478
10.025,1.002
10.55,1.697
9.781,0.463
9.993,1.349
9.365,1.397
8.999,1.6
9.754,1.006
9.645,0.927
10.088,1.012
10.248,-0.097
10.843,2.001
9.655,0.69
10.368,1.858
9.715,1.152
9.452,0.499
11.15,0.7
10.895,-1.089
9.047,1.314
9.716,1.0
9.829,1.284
9.951,1.026
10.453,1.991
10.9,0.2
10.341,1.208
10.611,1.924
9.099,0.929
10.919,2.051
10.4,-0.2
9.609,0.993
10.257,1.8
10.152,1.524
9.728,1.744
9.589,1.463
9.969,1.165
10.887,2.002
9.782,2.21
10.611,1.601
10.423,1.788
9.553,1.004
9.241,0.824
9.751,0.631
9.8,-0.7
10.159,1.225
9.266,0.794
9.653,-3.092
9.746,0.897
11.459,-3.17
9.684,0.734
9.339,1.078
8.551,-0.09
9.764,1.061
10.179,2.199
8.214,-0.802
10.446,1.518
10.248,1.379
10.75,1.77
9.764,0.863
9.723,1.762
9.473,0.172
9.615,1.061
10.242,1.226
10.065,1.899
10.15,2.5
10.435,1.717
9.915,0.77
10.328,0.832
10.272,2.103
9.593,1.106
10.462,1.929
10.372,1.092
10.427,1.917
9.978,0.831
9.514,0.355
10.454,2.089
9.363,0.162
11.065,2.004
9.43,0.509
9.087,0.696
9.025,-0.018
11.112,1.314
8.551,-0.881
10.264,0.417
10.081,1.352
10.225,1.662
10.45,-1.565
9.336,0.364
9.423,0.448
10.395,2.4
9.578,1.1
9.132,-0.636
9.852,1.005
8.816,0.062
8.382,-1.792
9.344,-0.061
10.343,2.276
8.098,-0.385
10.143,0.397
9.808,1.117
9.649,0.702
9.808,1.8
9.618,1.9
11.35,1.5
11.0,0.3
10.151,1.572
10.273,-0.835
11.841,0.898
10.428,-1.371
10.107,0.921
10.0,1.4
10.812,-0.3
11.301,1.684
9.158,0.683
8.987,-0.2
9.207,0.425
8.623,0.494
10.336,1.575
10.884,1.741
9.042,-0.277
9.568,0.9
10.259,2.111
9.864,1.058
9.276,0.033
10.25,-1.4
9.706,-0.889
10.703,-0.031
10.1,0.101
9.768,1.072
9.533,0.834
9.797,1.13
10.163,1.012
10.796,0.829
10.348,1.013
9.054,0.924
7.391,-0.784
9.653,0.278
8.468,-0.5
9.634,1.188
9.438,0.987
9.945,1.553
9.954,1.081
10.697,1.805
9.765,0.999
9.5,-0.2
10.397,1.6
9.174,0.843
10.63,2.111
10.451,0.581
9.891,1.5
10.6,0.2
10.242,-0.02
10.098,1.4
9.137,-0.096
8.954,0.352
9.849,1.364
10.601,1.683
9.702,1.353
10.355,0.885
9.264,0.701
10.693,-4.881
9.982,1.289
9.838,-0.769
9.405,0.961
9.836,-0.445
9.585,0.856
11.002,0.503
9.372,0.606
9.731,1.206
10.185,1.7
9.423,0.9
9.449,0.609
9.72,1.416
10.326,2.1
9.53,1.253
9.363,1.705
9.87,1.401
10.95,-0.6
8.157,-0.297
11.25,0.1
10.336,1.49
9.403,0.857
10.258,1.607
10.649,1.403
9.835,1.792
9.707,1.196
10.407,1.633
9.8,1.414
10.226,1.67
9.786,0.765
10.33,0.722
9.678,1.087
10.052,1.402
8.671,-0.26
9.998,1.685
10.238,1.88
11.1,0.5
10.022,1.201
10.055,2.301
9.201,-0.105
10.769,1.197
9.969,1.353
9.918,1.4
10.942,0.485
10.38,1.976
10.777,2.424
10.192,0.382
10.429,1.784
11.062,1.203
9.946,1.0
11.148,1.504
10.134,1.659
9.16,0.588
7.972,-1.155
8.717,0.005
9.862,1.656
10.1,0.8
10.399,1.7
9.331,1.679
9.383,1.0
10.125,0.6
10.32,1.791
10.601,1.496
10.22,0.785
8.925,1.275
9.753,1.27
10.941,1.593
10.235,1.746
9.384,0.705
9.76,1.195
10.064,1.311
8.642,-0.035
8.961,0.881
10.107,1.373
8.781,-0.201
9.495,0.009
9.852,0.495
9.776,0.388
9.801,0.288
10.076,0.665
11.3,-0.7
9.544,1.4
9.219,0.259
10.0,2.157
10.65,-0.48
9.751,0.797
9.001,-0.168
9.295,0.197
9.896,1.713
8.678,0.616
9.198,0.686
9.906,1.659
10.9,0.87
10.07,1.723
8.506,-0.743
10.9,0.695
10.481,2.339
10.4,-0.142
10.005,1.899
10.5,0.5
9.232,1.089
9.865,1.3
10.07,1.143
9.565,0.815
9.231,0.564
9.4,1.42
9.401,0.268
10.7,0.201
9.48,0.034
10.35,-2.9
9.255,1.39
10.333,1.578
10.952,1.796
10.355,1.441
9.001,-0.02
10.308,1.902
10.134,0.576
10.791,-0.317
11.051,0.7
10.669,0.1
9.056,-0.023
9.403,-0.0
9.325,0.785
10.832,1.896
10.738,2.019
10.555,1.4
10.286,1.501
9.243,1.002
8.911,0.801
10.095,1.204
9.0,-0.4
10.472,1.268
9.727,1.554
10.27,1.9
11.155,1.795
10.668,1.7
8.464,-0.901
10.259,1.496
9.811,-1.362
9.949,1.2
10.172,2.325
9.85,1.201
11.151,1.599
8.432,-0.088
11.05,-0.301
10.601,1.545
9.851,1.3
10.147,-0.094
10.051,1.382
8.422,-0.95
10.571,1.173
9.05,0.091
9.792,0.91
9.703,1.298
9.811,1.412
9.943,1.507
9.863,2.224
10.495,1.599
10.269,1.7
9.634,0.271
10.043,1.394
10.296,2.68
9.919,1.832
10.482,1.403
10.227,1.564
10.277,1.695
